ChemicalName,ChemicalID,DiseaseName,DiseaseID
candesartan,C081643,Diabetic Retinopathy,MESH:D003930
candesartan,C081643,Endomyocardial Fibrosis,MESH:D004719
candesartan,C081643,Enteritis,MESH:D004751
candesartan,C081643,Eosinophilia,MESH:D004802
candesartan,C081643,Gliosis,MESH:D005911
candesartan,C081643,Glomerulonephritis,MESH:D005921
candesartan,C081643,"Glomerulosclerosis, Focal Segmental",MESH:D005923
candesartan,C081643,Heart Failure,MESH:D006333
candesartan,C081643,Hypertension,MESH:D006973
candesartan,C081643,Hypertrophy,MESH:D006984
candesartan,C081643,"Hypertrophy, Left Ventricular",MESH:D017379
candesartan,C081643,"Infarction, Middle Cerebral Artery",MESH:D020244
candesartan,C081643,Inflammation,MESH:D007249
candesartan,C081643,Insulin Resistance,MESH:D007333
candesartan,C081643,Kidney Diseases,MESH:D007674
candesartan,C081643,Memory Disorders,MESH:D008569
candesartan,C081643,Migraine Disorders,MESH:D008881
candesartan,C081643,Nerve Degeneration,MESH:D009410
candesartan,C081643,Proteinuria,MESH:D011507
candesartan,C081643,Renal Insufficiency,MESH:D051437
candesartan,C081643,Vascular Diseases,MESH:D014652
candesartan,C081643,"Ventricular Dysfunction, Left",MESH:D018487
candesartan,C081643,Weight Gain,MESH:D015430
candesartan cilexetil,C077793,Cardiomegaly,MESH:D006332
candesartan cilexetil,C077793,"Cardiomyopathy, Dilated",MESH:D002311
candesartan cilexetil,C077793,Diabetic Nephropathies,MESH:D003928
candesartan cilexetil,C077793,Glomerulonephritis,MESH:D005921
candesartan cilexetil,C077793,Heart Diseases,MESH:D006331
candesartan cilexetil,C077793,Heart Failure,MESH:D006333
candesartan cilexetil,C077793,Hypertension,MESH:D006973
candesartan cilexetil,C077793,Hyperthermia,MESH:D000084462
candesartan cilexetil,C077793,"Hypertrophy, Left Ventricular",MESH:D017379
candesartan cilexetil,C077793,Kidney Diseases,MESH:D007674
candesartan cilexetil,C077793,"Liver Cirrhosis, Experimental",MESH:D008106
candesartan cilexetil,C077793,Proteinuria,MESH:D011507
candesartan cilexetil,C077793,"Tachycardia, Sinus",MESH:D013616
candesartan cilexetil,C077793,Vascular Remodeling,MESH:D066253
candesartan cilexetil,C077793,Ventricular Remodeling,MESH:D020257
Candicidin,D002174,"Neoplasms, Experimental",MESH:D009374
Candicidin,D002174,Radiation Injuries,MESH:D011832
candoxatril,C062766,Diabetic Angiopathies,MESH:D003925
candoxatril,C062766,Diabetic Neuropathies,MESH:D003929
candoxatril,C062766,Hypercholesterolemia,MESH:D006937
candoxatril,C062766,Peripheral Nervous System Diseases,MESH:D010523
candoxatril,C062766,Peripheral Vascular Diseases,MESH:D016491
candoxatrilat,C060942,"Hypertension, Portal",MESH:D006975
Canertinib,C420268,Breast Neoplasms,MESH:D001943
Canertinib,C420268,"Carcinoma, Non-Small-Cell Lung",MESH:D002289
Canertinib,C420268,"Carcinoma, Squamous Cell",MESH:D002294
Canertinib,C420268,Chemical and Drug Induced Liver Injury,MESH:D056486
Canertinib,C420268,Glioblastoma,MESH:D005909
Canertinib,C420268,Lung Neoplasms,MESH:D008175
cangrelor,C117446,Brain Infarction,MESH:D020520
cangrelor,C117446,Thrombosis,MESH:D013927
Cannabidiol,D002185,Alcoholic Intoxication,MESH:D000435
Cannabidiol,D002185,Alcoholism,MESH:D000437
Cannabidiol,D002185,Alzheimer Disease,MESH:D000544
Cannabidiol,D002185,Anxiety Disorders,MESH:D001008
Cannabidiol,D002185,Ataxia,MESH:D001259
Cannabidiol,D002185,Bipolar Disorder,MESH:D001714
Cannabidiol,D002185,Bone Resorption,MESH:D001862
Cannabidiol,D002185,Catalepsy,MESH:D002375
Cannabidiol,D002185,Chemical and Drug Induced Liver Injury,MESH:D056486
Cannabidiol,D002185,Cocaine-Related Disorders,MESH:D019970
Cannabidiol,D002185,Cognition Disorders,MESH:D003072
Cannabidiol,D002185,"Disease Models, Animal",MESH:D004195
Cannabidiol,D002185,Dyslipidemias,MESH:D050171
Cannabidiol,D002185,Dystonia,MESH:D004421
Cannabidiol,D002185,"Encephalomyelitis, Autoimmune, Experimental",MESH:D004681
Cannabidiol,D002185,"Epilepsies, Myoclonic",MESH:D004831
Cannabidiol,D002185,Essential Hypertension,MESH:D000075222
Cannabidiol,D002185,Fatty Liver,MESH:D005234
Cannabidiol,D002185,"Fatty Liver, Alcoholic",MESH:D005235
Cannabidiol,D002185,Glioblastoma,MESH:D005909
Cannabidiol,D002185,Glucose Intolerance,MESH:D018149
Cannabidiol,D002185,Hyperglycemia,MESH:D006943
Cannabidiol,D002185,"Hypertension, Renal",MESH:D006977
Cannabidiol,D002185,Hypothermia,MESH:D007035
Cannabidiol,D002185,Liver Diseases,MESH:D008107
Cannabidiol,D002185,Lung Injury,MESH:D055370
Cannabidiol,D002185,Memory Disorders,MESH:D008569
Cannabidiol,D002185,Muscle Weakness,MESH:D018908
Cannabidiol,D002185,"Muscular Dystrophy, Duchenne",MESH:D020388
Cannabidiol,D002185,Nausea,MESH:D009325
Cannabidiol,D002185,Neoplasm Metastasis,MESH:D009362
Cannabidiol,D002185,Oral Ulcer,MESH:D019226
Cannabidiol,D002185,Pain,MESH:D010146
Cannabidiol,D002185,"Plaque, Amyloid",MESH:D058225
Cannabidiol,D002185,Prenatal Exposure Delayed Effects,MESH:D011297
Cannabidiol,D002185,"Psychoses, Substance-Induced",MESH:D011605
Cannabidiol,D002185,Recurrence,MESH:D012008
Cannabidiol,D002185,Schizophrenia,MESH:D012559
Cannabidiol,D002185,Seizures,MESH:D012640
Cannabidiol,D002185,Spinal Cord Injuries,MESH:D013119
Cannabidiol,D002185,"Stress Disorders, Post-Traumatic",MESH:D013313
Cannabidiol,D002185,Substance Withdrawal Syndrome,MESH:D013375
Cannabidiol,D002185,Tardive Dyskinesia,MESH:D000071057
Cannabidiol,D002185,Tourette Syndrome,MESH:D005879
Cannabidiol,D002185,Urinary Bladder Neoplasms,MESH:D001749
Cannabidiol,D002185,Vomiting,MESH:D014839
Cannabidiol,D002185,Weight Gain,MESH:D015430
cannabidiol hydroxyquinone,C073718,Lymphoma,MESH:D008223
cannabidiol hydroxyquinone,C073718,"Neovascularization, Pathologic",MESH:D009389
cannabidiolic acid,C006884,COVID-19,MESH:D000086382
cannabidiolic acid,C006884,Hyperalgesia,MESH:D006930
cannabidiolic acid,C006884,Inflammation,MESH:D007249
cannabidivarin,C580853,Ataxia,MESH:D001259
cannabidivarin,C580853,"Disease Models, Animal",MESH:D004195
cannabidivarin,C580853,Muscle Weakness,MESH:D018908
cannabidivarin,C580853,"Muscular Dystrophy, Duchenne",MESH:D020388
cannabidivarin,C580853,Seizures,MESH:D012640
cannabigerolic acid,C100679,COVID-19,MESH:D000086382
cannabinoid CB2 receptor agonist ABK5,C000719156,Edema,MESH:D004487
cannabinoid CB2 receptor agonist ABK5,C000719156,Hyperalgesia,MESH:D006930
cannabinoid CB2 receptor agonist ABK5,C000719156,Inflammation,MESH:D007249
Cannabinoids,D002186,"Disease Models, Animal",MESH:D004195
Cannabinoids,D002186,Disease Progression,MESH:D018450
Cannabinoids,D002186,Drug-Related Side Effects and Adverse Reactions,MESH:D064420
Cannabinoids,D002186,"Epilepsies, Partial",MESH:D004828
Cannabinoids,D002186,Gastritis,MESH:D005756
Cannabinoids,D002186,Inflammation,MESH:D007249
Cannabinoids,D002186,Lentivirus Infections,MESH:D016180
Cannabinoids,D002186,Multiple Sclerosis,MESH:D009103
Cannabinoids,D002186,Nausea,MESH:D009325
Cannabinoids,D002186,Neoplasms,MESH:D009369
Cannabinoids,D002186,Neuralgia,MESH:D009437
Cannabinoids,D002186,Neurologic Manifestations,MESH:D009461
Cannabinoids,D002186,Pulmonary Fibrosis,MESH:D011658
Cannabinoids,D002186,Schizophrenia,MESH:D012559
Cannabinoids,D002186,"Scleroderma, Systemic",MESH:D012595
Cannabinoids,D002186,Tourette Syndrome,MESH:D005879
Cannabinoids,D002186,Vomiting,MESH:D014839
Canrenoic Acid,D002191,Hypertension,MESH:D006973
Canrenoic Acid,D002191,Kidney Diseases,MESH:D007674
Canrenoic Acid,D002191,Obesity,MESH:D009765
Canrenoic Acid,D002191,"Tachycardia, Ventricular",MESH:D017180
Canrenone,D002192,Hypertension,MESH:D006973
Cantharidin,D002193,Lung Neoplasms,MESH:D008175
Cantharidin,D002193,Neoplasm Invasiveness,MESH:D009361
Cantharidin,D002193,Neoplasms,MESH:D009369
Cantharidin,D002193,Stomach Neoplasms,MESH:D013274
caoguo zhimu,C533633,Cognition Disorders,MESH:D003072
Capecitabine,D000069287,Adenocarcinoma,MESH:D000230
Capecitabine,D000069287,"Adenocarcinoma, Mucinous",MESH:D002288
Capecitabine,D000069287,Appendiceal Neoplasms,MESH:D001063
Capecitabine,D000069287,Biliary Tract Neoplasms,MESH:D001661
Capecitabine,D000069287,Breast Neoplasms,MESH:D001943
Capecitabine,D000069287,Carcinoma,MESH:D002277
Capecitabine,D000069287,"Carcinoma, Renal Cell",MESH:D002292
Capecitabine,D000069287,Colonic Neoplasms,MESH:D003110
Capecitabine,D000069287,Colorectal Neoplasms,MESH:D015179
Capecitabine,D000069287,Esophageal Neoplasms,MESH:D004938
Capecitabine,D000069287,Gastrointestinal Neoplasms,MESH:D005770
Capecitabine,D000069287,Head and Neck Neoplasms,MESH:D006258
Capecitabine,D000069287,Neoplasm Invasiveness,MESH:D009361
Capecitabine,D000069287,Neoplasm Metastasis,MESH:D009362
Capecitabine,D000069287,Neoplasms,MESH:D009369
Capecitabine,D000069287,"Neoplasms, Unknown Primary",MESH:D009382
Capecitabine,D000069287,Pancreatic Neoplasms,MESH:D010190
Capecitabine,D000069287,Prostatic Neoplasms,MESH:D011471
Capecitabine,D000069287,Rectal Neoplasms,MESH:D012004
Capecitabine,D000069287,Stomach Neoplasms,MESH:D013274
capmatinib,C000613976,Chemical and Drug Induced Liver Injury,MESH:D056486
CAP protocol 2,C040871,Breast Neoplasms,MESH:D001943
Capreomycin,D002207,Tuberculosis,MESH:D014376
Capreomycin,D002207,"Tuberculosis, Multidrug-Resistant",MESH:D018088
Capreomycin,D002207,"Tuberculosis, Pulmonary",MESH:D014397
Capsaicin,D002211,Aberrant Crypt Foci,MESH:D058739
Capsaicin,D002211,"Abnormalities, Drug-Induced",MESH:D000014
Capsaicin,D002211,Acute Kidney Injury,MESH:D058186
Capsaicin,D002211,Alopecia,MESH:D000505
Capsaicin,D002211,Anxiety Disorders,MESH:D001008
Capsaicin,D002211,"Arthritis, Experimental",MESH:D001169
Capsaicin,D002211,Atherosclerosis,MESH:D050197
Capsaicin,D002211,Brain Ischemia,MESH:D002545
Capsaicin,D002211,Breast Neoplasms,MESH:D001943
Capsaicin,D002211,Chemical and Drug Induced Liver Injury,MESH:D056486
Capsaicin,D002211,Chromosome Breakage,MESH:D019457
Capsaicin,D002211,"Colitis, Ulcerative",MESH:D003093
Capsaicin,D002211,Drug Eruptions,MESH:D003875
Capsaicin,D002211,Duodenal Ulcer,MESH:D004381
Capsaicin,D002211,Edema,MESH:D004487
Capsaicin,D002211,Extravasation of Diagnostic and Therapeutic Materials,MESH:D005119
Capsaicin,D002211,Facial Pain,MESH:D005157
Capsaicin,D002211,Fatty Liver,MESH:D005234
Capsaicin,D002211,Feeding and Eating Disorders,MESH:D001068
Capsaicin,D002211,Glioblastoma,MESH:D005909
Capsaicin,D002211,Glucose Intolerance,MESH:D018149
Capsaicin,D002211,Hyperalgesia,MESH:D006930
Capsaicin,D002211,Hypercholesterolemia,MESH:D006937
Capsaicin,D002211,Hyperemia,MESH:D006940
Capsaicin,D002211,Hyperglycemia,MESH:D006943
Capsaicin,D002211,Hyperkinesis,MESH:D006948
Capsaicin,D002211,Hyperlipidemias,MESH:D006949
Capsaicin,D002211,Hypertension,MESH:D006973
Capsaicin,D002211,Inflammation,MESH:D007249
Capsaicin,D002211,"Liver Cirrhosis, Experimental",MESH:D008106
Capsaicin,D002211,Liver Diseases,MESH:D008107
Capsaicin,D002211,Liver Neoplasms,MESH:D008113
Capsaicin,D002211,Low Back Pain,MESH:D017116
Capsaicin,D002211,Lung Neoplasms,MESH:D008175
Capsaicin,D002211,Metabolic Diseases,MESH:D008659
Capsaicin,D002211,Movement Disorders,MESH:D009069
Capsaicin,D002211,Multiple Myeloma,MESH:D009101
Capsaicin,D002211,Neoplasms,MESH:D009369
Capsaicin,D002211,"Neoplasms, Experimental",MESH:D009374
Capsaicin,D002211,Neuralgia,MESH:D009437
Capsaicin,D002211,"Neuralgia, Postherpetic",MESH:D051474
Capsaicin,D002211,Nocturia,MESH:D053158
Capsaicin,D002211,Obesity,MESH:D009765
Capsaicin,D002211,Osteoarthritis,MESH:D010003
Capsaicin,D002211,Pain,MESH:D010146
Capsaicin,D002211,Pancreatic Neoplasms,MESH:D010190
Capsaicin,D002211,Peripheral Nervous System Diseases,MESH:D010523
Capsaicin,D002211,"Plaque, Atherosclerotic",MESH:D058226
Capsaicin,D002211,Prostatic Neoplasms,MESH:D011471
Capsaicin,D002211,Pruritus,MESH:D011537
Capsaicin,D002211,"Reflex, Abnormal",MESH:D012021
Capsaicin,D002211,Reperfusion Injury,MESH:D015427
Capsaicin,D002211,Sensation Disorders,MESH:D012678
Capsaicin,D002211,Sepsis,MESH:D018805
Capsaicin,D002211,Stomach Ulcer,MESH:D013276
Capsaicin,D002211,Urinary Bladder Diseases,MESH:D001745
Capsaicin,D002211,"Urinary Bladder, Overactive",MESH:D053201
Capsaicin,D002211,Urination Disorders,MESH:D014555
Capsaicin,D002211,Weight Gain,MESH:D015430
capsazepine,C071423,Anxiety Disorders,MESH:D001008
capsazepine,C071423,Death,MESH:D003643
capsazepine,C071423,"Edema, Cardiac",MESH:D004489
capsazepine,C071423,Extravasation of Diagnostic and Therapeutic Materials,MESH:D005119
capsazepine,C071423,Hyperalgesia,MESH:D006930
capsazepine,C071423,Hyperemia,MESH:D006940
capsazepine,C071423,Hyperglycemia,MESH:D006943
capsazepine,C071423,Inflammation,MESH:D007249
capsazepine,C071423,Insulin Resistance,MESH:D007333
capsazepine,C071423,Morphine Dependence,MESH:D009021
capsazepine,C071423,Movement Disorders,MESH:D009069
capsazepine,C071423,Neurogenic Inflammation,MESH:D020078
capsazepine,C071423,Nociceptive Pain,MESH:D059226
capsazepine,C071423,Obesity,MESH:D009765
capsazepine,C071423,Pain,MESH:D010146
capsazepine,C071423,Weight Gain,MESH:D015430
capsiate,C470213,Inflammatory Bowel Diseases,MESH:D015212
capsiate,C470213,"Shock, Septic",MESH:D012772
capsinolol,C104667,Tachycardia,MESH:D013610
Captopril,D002216,Albuminuria,MESH:D000419
Captopril,D002216,Diabetic Nephropathies,MESH:D003928
Captopril,D002216,Heart Failure,MESH:D006333
Captopril,D002216,Lung Injury,MESH:D055370
Captopril,D002216,Pulmonary Fibrosis,MESH:D011658
Captopril,D002216,Weight Loss,MESH:D015431
"captopril, hydrochlorothiazide drug combination",C044959,Aortic Valve Insufficiency,MESH:D001022
"captopril, hydrochlorothiazide drug combination",C044959,Hypertension,MESH:D006973
"captopril, hydrochlorothiazide drug combination",C044959,Ventricular Dysfunction,MESH:D018754
capuride,C004646,Seizures,MESH:D012640
caramiphen,C004519,Brain Injuries,MESH:D001930
caramiphen,C004519,Drug-Related Side Effects and Adverse Reactions,MESH:D064420
caramiphen,C004519,Parkinson Disease,MESH:D010300
caramiphen,C004519,Seizures,MESH:D012640
caramiphen,C004519,Tremor,MESH:D014202
caraway oil,C104525,Chemical and Drug Induced Liver Injury,MESH:D056486
caraway oil,C104525,Dyspepsia,MESH:D004415
caraway oil,C104525,Fatty Liver,MESH:D005234
caraway oil,C104525,Hematuria,MESH:D006417
caraway oil,C104525,Inflammation,MESH:D007249
caraway oil,C104525,Kidney Diseases,MESH:D007674
caraway oil,C104525,Pain,MESH:D010146
Carbachol,D002217,Hyperkinesis,MESH:D006948
Carbachol,D002217,Hypotension,MESH:D007022
Carbachol,D002217,Pain,MESH:D010146
Carbachol,D002217,Urinary Retention,MESH:D016055
Carbamates,D002219,Cognition Disorders,MESH:D003072
Carbamates,D002219,Substance Withdrawal Syndrome,MESH:D013375
Carbamazepine,D002220,Acute Disease,MESH:D000208
Carbamazepine,D002220,"Affective Disorders, Psychotic",MESH:D000341
Carbamazepine,D002220,Ataxia,MESH:D001259
Carbamazepine,D002220,Attention Deficit Disorder with Hyperactivity,MESH:D001289
Carbamazepine,D002220,Bipolar Disorder,MESH:D001714
Carbamazepine,D002220,Bradycardia,MESH:D001919
Carbamazepine,D002220,"Brain Damage, Chronic",MESH:D001925
Carbamazepine,D002220,Breast Neoplasms,MESH:D001943
Carbamazepine,D002220,Catatonia,MESH:D002389
Carbamazepine,D002220,Chemical and Drug Induced Liver Injury,MESH:D056486
Carbamazepine,D002220,Child Behavior Disorders,MESH:D002653
Carbamazepine,D002220,Cocaine-Related Disorders,MESH:D019970
Carbamazepine,D002220,Cognition Disorders,MESH:D003072
Carbamazepine,D002220,Depressive Disorder,MESH:D003866
Carbamazepine,D002220,"Diabetes Insipidus, Nephrogenic",MESH:D018500
Carbamazepine,D002220,"Diabetes Insipidus, Neurogenic",MESH:D020790
Carbamazepine,D002220,Diabetic Nephropathies,MESH:D003928
Carbamazepine,D002220,Dizziness,MESH:D004244
Carbamazepine,D002220,Drug Eruptions,MESH:D003875
Carbamazepine,D002220,Dysarthria,MESH:D004401
Carbamazepine,D002220,Dyskinesias,MESH:D020820
Carbamazepine,D002220,Dystonia,MESH:D004421
Carbamazepine,D002220,"Encephalomyelitis, Autoimmune, Experimental",MESH:D004681
Carbamazepine,D002220,"Epilepsies, Myoclonic",MESH:D004831
Carbamazepine,D002220,"Epilepsies, Partial",MESH:D004828
Carbamazepine,D002220,Epilepsy,MESH:D004827
Carbamazepine,D002220,"Epilepsy, Complex Partial",MESH:D017029
Carbamazepine,D002220,"Epilepsy, Generalized",MESH:D004829
Carbamazepine,D002220,"Epilepsy, Rolandic",MESH:D019305
Carbamazepine,D002220,"Epilepsy, Temporal Lobe",MESH:D004833
Carbamazepine,D002220,"Epilepsy, Tonic-Clonic",MESH:D004830
Carbamazepine,D002220,Erythromelalgia,MESH:D004916
Carbamazepine,D002220,Essential Tremor,MESH:D020329
Carbamazepine,D002220,Facial Neuralgia,MESH:D005156
Carbamazepine,D002220,Headache,MESH:D006261
Carbamazepine,D002220,Hemifacial Spasm,MESH:D019569
Carbamazepine,D002220,Hyperalgesia,MESH:D006930
Carbamazepine,D002220,Hyperkinesis,MESH:D006948
Carbamazepine,D002220,Hyperplasia,MESH:D006965
Carbamazepine,D002220,Hypertensive Encephalopathy,MESH:D020343
Carbamazepine,D002220,Isaacs Syndrome,MESH:D020386
Carbamazepine,D002220,"Meningitis, Aseptic",MESH:D008582
Carbamazepine,D002220,Mental Disorders,MESH:D001523
Carbamazepine,D002220,Migraine Disorders,MESH:D008881
Carbamazepine,D002220,Mood Disorders,MESH:D019964
Carbamazepine,D002220,Myoclonus,MESH:D009207
Carbamazepine,D002220,Myotonia Congenita,MESH:D009224
Carbamazepine,D002220,Myotonic Dystrophy,MESH:D009223
Carbamazepine,D002220,Neoplasm Metastasis,MESH:D009362
Carbamazepine,D002220,Nerve Degeneration,MESH:D009410
Carbamazepine,D002220,Nervous System Malformations,MESH:D009421
Carbamazepine,D002220,Neuralgia,MESH:D009437
Carbamazepine,D002220,"Neuralgia, Postherpetic",MESH:D051474
Carbamazepine,D002220,Pain,MESH:D010146
Carbamazepine,D002220,Paresthesia,MESH:D010292
Carbamazepine,D002220,Paroxysmal Extreme Pain Disorder,MESH:C563475
Carbamazepine,D002220,Peripheral Nervous System Diseases,MESH:D010523
Carbamazepine,D002220,Personality Disorders,MESH:D010554
Carbamazepine,D002220,Polyuria,MESH:D011141
Carbamazepine,D002220,Prenatal Exposure Delayed Effects,MESH:D011297
Carbamazepine,D002220,Psychomotor Agitation,MESH:D011595
Carbamazepine,D002220,Psychotic Disorders,MESH:D011618
Carbamazepine,D002220,Radiculopathy,MESH:D011843
Carbamazepine,D002220,Schizophrenia,MESH:D012559
Carbamazepine,D002220,"Schizophrenia, Paranoid",MESH:D012563
Carbamazepine,D002220,Seizures,MESH:D012640
Carbamazepine,D002220,"Seizures, Febrile",MESH:D003294
Carbamazepine,D002220,Sleep Wake Disorders,MESH:D012893
Carbamazepine,D002220,Status Epilepticus,MESH:D013226
Carbamazepine,D002220,"Stress Disorders, Post-Traumatic",MESH:D013313
Carbamazepine,D002220,Substance Withdrawal Syndrome,MESH:D013375
Carbamazepine,D002220,Tremor,MESH:D014202
Carbamazepine,D002220,Trigeminal Neuralgia,MESH:D014277
Carbamazepine,D002220,Unconsciousness,MESH:D014474
Carbamoyl Phosphate Synthetase I Activators,D065097,Embryo Loss,MESH:D020964
carbaspirin calcium,C002942,Acute Coronary Syndrome,MESH:D054058
Carbazoles,D002227,Enterovirus Infections,MESH:D004769
Carbenicillin,D002228,Abscess,MESH:D000038
Carbenicillin,D002228,Bacteremia,MESH:D016470
Carbenicillin,D002228,Bacterial Infections,MESH:D001424
Carbenicillin,D002228,"Endocarditis, Bacterial",MESH:D004697
Carbenicillin,D002228,Escherichia coli Infections,MESH:D004927
Carbenicillin,D002228,Fever,MESH:D005334
Carbenicillin,D002228,Gonorrhea,MESH:D006069
Carbenicillin,D002228,Gram-Negative Bacterial Infections,MESH:D016905
Carbenicillin,D002228,Haemophilus Infections,MESH:D006192
Carbenicillin,D002228,Klebsiella Infections,MESH:D007710
Carbenicillin,D002228,"Meningitis, Haemophilus",MESH:D008583
Carbenicillin,D002228,Otitis Externa,MESH:D010032
Carbenicillin,D002228,Pneumonia,MESH:D011014
Carbenicillin,D002228,Proteus Infections,MESH:D011512
Carbenicillin,D002228,Pseudomonas Infections,MESH:D011552
Carbenicillin,D002228,Pyelonephritis,MESH:D011704
Carbenicillin,D002228,Rectal Diseases,MESH:D012002
Carbenicillin,D002228,Sepsis,MESH:D018805
Carbenicillin,D002228,Staphylococcal Infections,MESH:D013203
Carbenicillin,D002228,Surgical Wound Infection,MESH:D013530
Carbenicillin,D002228,Urinary Tract Infections,MESH:D014552
Carbenoxolone,D002229,Huntington Disease,MESH:D006816
Carbenoxolone,D002229,Insulin Resistance,MESH:D007333
Carbenoxolone,D002229,Stomach Ulcer,MESH:D013276
Carbidopa,D002230,Acute Kidney Injury,MESH:D058186
Carbidopa,D002230,"Arrhythmias, Cardiac",MESH:D001145
Carbidopa,D002230,Brain Diseases,MESH:D001927
Carbidopa,D002230,Catalepsy,MESH:D002375
Carbidopa,D002230,Catatonia,MESH:D002389
Carbidopa,D002230,Drug-Related Side Effects and Adverse Reactions,MESH:D064420
Carbidopa,D002230,Hypertension,MESH:D006973
Carbidopa,D002230,Hypokinesia,MESH:D018476
Carbidopa,D002230,Hypotension,MESH:D007022
Carbidopa,D002230,Muscle Rigidity,MESH:D009127
Carbidopa,D002230,Myoclonus,MESH:D009207
Carbidopa,D002230,Nausea,MESH:D009325
Carbidopa,D002230,Parkinson Disease,MESH:D010300
Carbidopa,D002230,"Parkinson Disease, Secondary",MESH:D010302
Carbidopa,D002230,Parkinsonian Disorders,MESH:D020734
Carbidopa,D002230,Tremor,MESH:D014202
Carbidopa,D002230,Vomiting,MESH:D014839
"carbidopa, levodopa drug combination",C009265,Amblyopia,MESH:D000550
"carbidopa, levodopa drug combination",C009265,Bipolar Disorder,MESH:D001714
"carbidopa, levodopa drug combination",C009265,Brain Injuries,MESH:D001930
"carbidopa, levodopa drug combination",C009265,Catalepsy,MESH:D002375
"carbidopa, levodopa drug combination",C009265,Catatonia,MESH:D002389
"carbidopa, levodopa drug combination",C009265,"Dystonia, Dopa-responsive",MESH:C538007
"carbidopa, levodopa drug combination",C009265,Hyperprolactinemia,MESH:D006966
"carbidopa, levodopa drug combination",C009265,Hypokinesia,MESH:D018476
"carbidopa, levodopa drug combination",C009265,Muscle Rigidity,MESH:D009127
"carbidopa, levodopa drug combination",C009265,Neuroleptic Malignant Syndrome,MESH:D009459
"carbidopa, levodopa drug combination",C009265,Nocturnal Myoclonus Syndrome,MESH:D020189
"carbidopa, levodopa drug combination",C009265,Parkinson Disease,MESH:D010300
"carbidopa, levodopa drug combination",C009265,"Parkinson Disease, Secondary",MESH:D010302
"carbidopa, levodopa drug combination",C009265,Parkinsonian Disorders,MESH:D020734
"carbidopa, levodopa drug combination",C009265,Restless Legs Syndrome,MESH:D012148
"carbidopa, levodopa drug combination",C009265,Seizures,MESH:D012640
"carbidopa, levodopa drug combination",C009265,Spinocerebellar Ataxias,MESH:D020754
Carbimazole,D002231,Asthma,MESH:D001249
Carbimazole,D002231,Graves Disease,MESH:D006111
Carbimazole,D002231,Hyperthyroidism,MESH:D006980
Carbimazole,D002231,Thyrotoxicosis,MESH:D013971
Carbimazole,D002231,Tobacco Use Disorder,MESH:D014029
Carbocysteine,D002233,Inflammation,MESH:D007249
Carbocysteine,D002233,Nose Diseases,MESH:D009668
Carbocysteine,D002233,"Pulmonary Disease, Chronic Obstructive",MESH:D029424
carbogen,C011700,Breast Neoplasms,MESH:D001943
Carbon Dioxide,D002245,Hyperalgesia,MESH:D006930
Carbon Dioxide,D002245,Hypocapnia,MESH:D016857
Carbon Disulfide,D002246,Kidney Diseases,MESH:D007674
Carbon Disulfide,D002246,Urinary Bladder Diseases,MESH:D001745
Carbonic Anhydrase Inhibitors,D002257,Epilepsy,MESH:D004827
Carbonic Anhydrase Inhibitors,D002257,Glaucoma,MESH:D005901
Carbonic Anhydrase Inhibitors,D002257,Hypertension,MESH:D006973
Carbonic Anhydrase Inhibitors,D002257,Ocular Hypertension,MESH:D009798
Carbon Monoxide,D002248,Cardiomyopathies,MESH:D009202
Carbon Monoxide,D002248,Colitis,MESH:D003092
Carbon Monoxide,D002248,Gastroparesis,MESH:D018589
Carbon Monoxide,D002248,Hypertension,MESH:D006973
Carbon Monoxide,D002248,Ileus,MESH:D045823
Carbon Monoxide,D002248,Liver Diseases,MESH:D008107
Carbon Tetrachloride,D002251,"Liver Neoplasms, Experimental",MESH:D008114
Carboplatin,D016190,Adenocarcinoma,MESH:D000230
Carboplatin,D016190,Ascites,MESH:D001201
Carboplatin,D016190,Brain Neoplasms,MESH:D001932
Carboplatin,D016190,Breast Neoplasms,MESH:D001943
Carboplatin,D016190,Carcinoma,MESH:D002277
Carboplatin,D016190,"Carcinoma, Bronchogenic",MESH:D002283
Carboplatin,D016190,"Carcinoma, Endometrioid",MESH:D018269
Carboplatin,D016190,"Carcinoma, Merkel Cell",MESH:D015266
Carboplatin,D016190,"Carcinoma, Non-Small-Cell Lung",MESH:D002289
Carboplatin,D016190,"Carcinoma, Ovarian Epithelial",MESH:D000077216
Carboplatin,D016190,"Carcinoma, Squamous Cell",MESH:D002294
Carboplatin,D016190,"Carcinoma, Transitional Cell",MESH:D002295
Carboplatin,D016190,"Desmoid disease, hereditary",MESH:C535944
Carboplatin,D016190,Disease Progression,MESH:D018450
Carboplatin,D016190,Endometrial Neoplasms,MESH:D016889
Carboplatin,D016190,Esophageal Neoplasms,MESH:D004938
Carboplatin,D016190,Glioblastoma,MESH:D005909
Carboplatin,D016190,Glioma,MESH:D005910
Carboplatin,D016190,Head and Neck Neoplasms,MESH:D006258
Carboplatin,D016190,Hematologic Neoplasms,MESH:D019337
Carboplatin,D016190,Leukemia,MESH:D007938
Carboplatin,D016190,"Leukemia, Myeloid, Acute",MESH:D015470
Carboplatin,D016190,Liver Neoplasms,MESH:D008113
Carboplatin,D016190,Lung Neoplasms,MESH:D008175
Carboplatin,D016190,"Mammary Neoplasms, Experimental",MESH:D008325
Carboplatin,D016190,Medulloblastoma,MESH:D008527
Carboplatin,D016190,Melanoma,MESH:D008545
