Title,Summary,GSE,Taxon,Sequencing_type,Publish_date
Single-cell sequencing of infusion products and T cells after administration of non-viral PD1-targeted anti-CD19 CAR T cells,We successfully developed a two-in-one approach to generate non-viral genome specific targeted CAR T cells through CRISPR/Cas9. In the adoptive therapy for relapsed/refractory aggressive B-cell non-Hodgkin lymphoma__ we observed durable responses without serious adverse events and complete remission in patients treated with PD1 knockin CAR T cells. Here we applied single-cell sequencing to analyze the characteristcis of infusion products and T cells after administration.,GSE166352,Homo sapiens,Expression profiling by high throughput sequencing,2022/06/20
Differential chromatin accessibility in peripheral blood mononuclear cells underlies COVID-19 disease severity prior to seroconversion [scRNA-Seq],SARS-CoV-2 infection triggers profound and variable immune responses in human hosts. Chromatin remodeling has been observed in individuals severely ill or convalescing with COVID-19__ but chromatin remodeling early in disease prior to anti-spike protein IgG seroconversion has not been defined. We performed the Assay for Transposase-Accessible Chromatin using sequencing (ATAC-seq) and RNA-seq on peripheral blood mononuclear cells (PBMCs) from outpatients with mild or moderate symptom severity at different stages of clinical illness. Early in the disease course prior to IgG seroconversion__ modifications in chromatin accessibility associated with mild or moderate symptoms were already robust and included severity-associated changes in accessibility of genes in interleukin signaling__ regulation of cell differentiation and cell morphology. Furthermore__ single-cell analyses revealed evolution of the chromatin accessibility landscape and transcription factor motif accessibility for individual PBMC cell types over time. The most extensive remodeling occurred in CD14+ monocytes__ where sub-populations with distinct chromatin accessibility profiles were observed prior to seroconversion. Mild symptom severity was marked by upregulation classical antiviral pathways__ including those regulating IRF1 and IRF7__ whereas in moderate disease__ these classical antiviral signals diminished__ suggesting dysregulated and less effective responses. Together__ these observations offer novel insight into the epigenome of early mild SARS-CoV-2 infection and suggest that detection of chromatin remodeling in early disease may offer promise for a new class of diagnostic tools for COVID-19.,GSE206283,Homo sapiens,Expression profiling by high throughput sequencing,2022/06/19
Differential chromatin accessibility in peripheral blood mononuclear cells underlies COVID-19 disease severity prior to seroconversion [bulkATAC-Seq],SARS-CoV-2 infection triggers profound and variable immune responses in human hosts. Chromatin remodeling has been observed in individuals severely ill or convalescing with COVID-19__ but chromatin remodeling early in disease prior to anti-spike protein IgG seroconversion has not been defined. We performed the Assay for Transposase-Accessible Chromatin using sequencing (ATAC-seq) and RNA-seq on peripheral blood mononuclear cells (PBMCs) from outpatients with mild or moderate symptom severity at different stages of clinical illness. Early in the disease course prior to IgG seroconversion__ modifications in chromatin accessibility associated with mild or moderate symptoms were already robust and included severity-associated changes in accessibility of genes in interleukin signaling__ regulation of cell differentiation and cell morphology. Furthermore__ single-cell analyses revealed evolution of the chromatin accessibility landscape and transcription factor motif accessibility for individual PBMC cell types over time. The most extensive remodeling occurred in CD14+ monocytes__ where sub-populations with distinct chromatin accessibility profiles were observed prior to seroconversion. Mild symptom severity was marked by upregulation classical antiviral pathways__ including those regulating IRF1 and IRF7__ whereas in moderate disease__ these classical antiviral signals diminished__ suggesting dysregulated and less effective responses. Together__ these observations offer novel insight into the epigenome of early mild SARS-CoV-2 infection and suggest that detection of chromatin remodeling in early disease may offer promise for a new class of diagnostic tools for COVID-19.,GSE206266,Homo sapiens,Genome binding/occupancy profiling by high throughput sequencing,2022/06/19
Differential chromatin accessibility in peripheral blood mononuclear cells underlies COVID-19 disease severity prior to seroconversion [bulkRNA-Seq],SARS-CoV-2 infection triggers profound and variable immune responses in human hosts. Chromatin remodeling has been observed in individuals severely ill or convalescing with COVID-19__ but chromatin remodeling early in disease prior to anti-spike protein IgG seroconversion has not been defined. We performed the Assay for Transposase-Accessible Chromatin using sequencing (ATAC-seq) and RNA-seq on peripheral blood mononuclear cells (PBMCs) from outpatients with mild or moderate symptom severity at different stages of clinical illness. Early in the disease course prior to IgG seroconversion__ modifications in chromatin accessibility associated with mild or moderate symptoms were already robust and included severity-associated changes in accessibility of genes in interleukin signaling__ regulation of cell differentiation and cell morphology. Furthermore__ single-cell analyses revealed evolution of the chromatin accessibility landscape and transcription factor motif accessibility for individual PBMC cell types over time. The most extensive remodeling occurred in CD14+ monocytes__ where sub-populations with distinct chromatin accessibility profiles were observed prior to seroconversion. Mild symptom severity was marked by upregulation classical antiviral pathways__ including those regulating IRF1 and IRF7__ whereas in moderate disease__ these classical antiviral signals diminished__ suggesting dysregulated and less effective responses. Together__ these observations offer novel insight into the epigenome of early mild SARS-CoV-2 infection and suggest that detection of chromatin remodeling in early disease may offer promise for a new class of diagnostic tools for COVID-19.,GSE206263,Homo sapiens,Expression profiling by high throughput sequencing,2022/06/19
Detection of Cell-Cell Interactions via Photocatalytic Cell Tagging,The growing appreciation of immune cell-cell interactions within disease environments has led to significant efforts to develop highly effective protein-__ and cell-based immunotherapies.  However__ characterizing these complex cell-cell interactions in high resolution remains challenging.  Thus__ technologies that leverage therapeutic-based modalities for profiling intercellular environments can provide unique advantages towards understanding these cellular interactions at molecular-level detail.  To address this__ we introduce photocatalytic cell tagging (PhoTag)__ a platform for profiling cell-cell interactions that utilizes a single domain antibody (VHH) conjugated to a photoactivatable flavin-based cofactor.  Upon irradiation with visible light__ the tethered flavin photocatalyst generates phenoxy radical tags for targeted labeling within cell-cell contact environments.  Using anti-PD-1 or anti-PD-L1 VHH flavin conjugates__ we demonstrate that PhoTag achieves highly selective synaptic labeling in antigen presenting cell-T cell co-culture systems. By combining the high resolution transcellular biotinylation capability of PhoTag with multi-omics single cell sequencing__ we interrogated transient interactions between Peripheral blood mononuclear cell (PBMC) populations and Raji PD-L1 B cells and discovered that specific T cell subtypes can transiently interact more efficiently than others.   We envision that the spatio-temporal and modular nature of PhoTag will enable its broad utilization for detailed profiling of intercellular interactions across different biological systems. ,GSE206140,Homo sapiens,Expression profiling by high throughput sequencing; Other,2022/06/18
Gene expression profile at single cell level of tumor dissociated cells from OS1 PDX tumors after control-PBMC or attIL12-PBMC treatment,We performed single cell RNAseq to explore the molecular changes in cellular composition induced by attIL12-PBMC infusion in OS1 PDX tumors.,GSE206209,Homo sapiens,Expression profiling by high throughput sequencing,2022/06/16
Immune responses to Coronavirus disease-19 with Thymosin α 1 intervention: an observational cohort study,Background Coronavirus disease-19 (COVID-19) pandemic has posed a serious threat to global health. Thymosin α 1 (Tα1) was considered being applied in COVID-19 therapy. However__ there were limited clinical evidence to support. We aimed to study the immune and inflammation response to COVID-19 under Tα1 treatment and confirm its clinical benefit. Methods We did a cohort study including COVID-19 patients and healthy volunteers with or without Tα1 treatment. We obtained peripheral blood mononuclear cells (PBMCs) samples. Single cell RNA-sequencing (ScRNA-seq) and T cell receptor-sequencing (TCR-seq) was done to test for immune responses. Findings The proportion of CD3+KLRD1+ NKT__ TBX21+CD8+ NKT was significant higher in Health controls with Tα1 treatment (HCT) than those without Tα1 (HC) (p=0.016; p=0.031). The proportion of CD3+KLRD1+ NKT__ TBX21+CD8+ NKT was also observed increase in COVID-19 patients with Tα1 treatment (COVT) than those without Tα1 (COV) (p=0.024; p=0.010). The proportion of CD33-HLA-DMA-CD14+ classical monocyte was significant lower in COVT in comparison with COV. Those cell sets were significantly associated with thymosin intervention (CD3+KLRD1+ NKT__ p=0.028; TBX21+CD8+ NKT__ p=0.003; CD33-HLA-DMA-CD14+ classical monocyte__ p=0.047). Interpretation The increased T cell and decreased monocyte response might support the prevention and therapy effect of Tα1 treatment. These data might also serve as a rich resource for designing cellular immunity therapies for this pandemic disease.,GSE169441,Homo sapiens,Expression profiling by high throughput sequencing,2022/06/08
Distinct gene expression by expanded clones of quiescent memory CD4+ T cells harboring intact latent HIV-1 proviruses,Antiretroviral therapy controls but does not cure HIV-1 infection due to a reservoir of rare CD4 + T cells harboring latent proviruses. Little is known about the transcriptional program of latent cells. Here we report a novel strategy to enrich clones of latent cells carrying intact__ replication-competent HIV-1 proviruses from blood based on their expression of unique T cell receptors. Latent cell enrichment enabled single cell transcriptomic analysis of 1__050 CD4 + T cells belonging to expanded clones harboring intact HIV-1 proviruses from 6 different individuals. The analysis revealed that most of these cells are T effector memory cells that are enriched for expression of HLA-DR__ HLA-DP__ CD74__ CCL5__ Granzymes A and K__ cystatin F__ LYAR and DUSP2. We conclude that expanded clones of latent cells carrying intact HIV-1 proviruses persist preferentially in a distinct CD4 + T cell population opening new possibilities for eradication.,GSE204756,Homo sapiens,Expression profiling by high throughput sequencing; Other,2022/06/03
Analysis of metabolic characteristics of peripheral blood mononuclear cells in patients with leukemia at the single cell level,We collected peripheral blood from leukemia patients at different stages__ including those newly diagnosed as untreated__ as well as those in remission on therapy__ with a subset of samples including peripheral blood and bone marrow samples. First__ mononuclear cells were isolated from the collected peripheral blood__ followed by single-cell RNA sequencing and follow-up sequencing results for subgroup classification__ focusing on changes such as glycolipid metabolism of B cells as well as T cells. The aim of this project was to explore the changes in metabolic remodeling in leukemia patients with the aid of single-cell technology to provide assistance in the diagnosis and treatment of the disease.,GSE205219,Homo sapiens,Expression profiling by high throughput sequencing,2022/06/02
Single-cell RNA sequencing unveils the clonal and transcriptional landscape of cutaneous T-cell lymphomas,Mycosis fungoides (MF) is the most common subtype of cutaneous T-cell lymphoma__ arising from clonal expansion of transformed skin-homing memory T cells. However__ the lack of specific markers for malignant lymphocytes prevents distinguishing them from benign T cells in the tumor microenvironment (TME) of MF__ thus delaying diagnosis and development of specific treatment__ which results in poor clinical outcomes. Here we employed recent advances in single-cell RNA-sequencing to establish the transcriptome of expanded T-cell clones directly in advanced-stage MF skin tumors__ allowing the transcriptional profiles of malignant and reactive T lymphocytes to be distinguished. Our analysis identified multiple non-overlapping expanded T-cell clonotypes within individual MF tumors__ which included malignant and reactive clones. Heterogeneity among samples was observed not only in the number of expanded clonotypes but also in their TCR specificity and gene expression. While patient-specific tumorigenic pathways were up-regulated by the malignant clones__ we also identified a common gene expression that included genes associated with cancer cell metabolism__ de novo nucleotide biosynthesis__ and invasion. Most non-malignant clones originated from CD8+ T cells and commonly presented an exhausted immune phenotype and activated Th1/Th2 pathways. While non-clonal infiltrating CD4+ and CD8+ lymphocytes from all tumors shared anti-inflammatory and immunosuppressive pathways__ patient-specific mechanisms included the TNFR2 signaling cascade__ ferroptosis__ and cytotoxic pathways by gamma/delta T cells. Thus__ scRNAseq reveals new insights in MF pathogenesis by providing an unprecedented report of the transcriptomes of malignant and reactive T cells in the TME of individual patients and offers novel prospective targets for personalized therapy.,GSE182861,Homo sapiens,Expression profiling by high throughput sequencing; Other,2022/06/01
Latent HIV infection disrupts cell-intrinsic innate immunity [scRNA-seq],Single Cell RNA Sequencing in Primary CD4 T-Cells infected with HIV__ suppressed with ART__ and treated with IFNb,GSE176386,Homo sapiens,Expression profiling by high throughput sequencing,2022/06/01
Single cell RNA-seq by mostly-natural sequencing by synthesis,Massively parallel single cell RNA-seq (scRNA-seq) for diverse applications__ from cell atlases to functional screens__ is increasingly limited by sequencing costs__ and large-scale low-cost sequencing can open many additional applications__ including patient diagnostics and drug screens. Here__ we adapted and systematically benchmarked a newly developed__ mostly-natural sequencing by synthesis method for scRNA-seq. We demonstrate successful application in four scRNA-seq case studies of different technical and biological types__ including 5’ and 3’ scRNA-seq__ human peripheral blood mononuclear cells from a single individual and in multiplex__ as well as Perturb-Seq. Our data show comparable results to existing technology__ including compatibility with state of the art scRNA-seq libraries independent of the sequencing technology used – thus providing an enhanced cost-effective path for large scale scRNA-seq.,GSE197452,Homo sapiens,Expression profiling by high throughput sequencing; Other,2022/05/31
Pre-encoded responsiveness to type I interferon in the peripheral immune system defines outcome of PD1 blockade therapy,This repository contains single-cell RNA and single-cell ATAC sequencing data of peripheral blood mononuclear cells (PBMCs) from melanoma patients at baseline (prior to receiving anti-PD1 therapy) and healthy donors. Patients were selected based on their IFN-I response capacity (measured by mass cytometry)__ which is associated with patient survival after therapy. The purpose of the experiment was to better understand the mechanisms underlying the differences in outcome observed betwee the two patient groups.,GSE199994,Homo sapiens,Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing,2022/05/30
Onepot-Seq: capturing single-cell transcriptomes simultaneously in a continuous medium via transient localization of mRNA,The development of single-cell RNA-seq has broadened the spectrum for biological research by providing a high-resolution analysis of cellular heterogeneity. However__ the requirement for sophisticated devices for the compartmentalization of cells has limited its widespread applicability. Here__ we develop Onepot-Seq__ a device-free__ well-based method__ that harnesses the transient localization of mRNA after lysis to capture single-cell transcriptomes simultaneously in a continuous fluid medium. In mixed-species experiments__ we obtained high-quality single-cell profiles. Further__ cell-type-specific poly(A)-conjugated antibodies allow Onepot-Seq to effectively capture target cells in complex populations. Chemical perturbations to cells can be profiled by Onepot-Seq at single-cell resolution. Onepot-Seq should allow routine transcriptional profiling at single-cell resolution__ accelerating clinical and scientific discoveries in many fields of science.,GSE204864,Homo sapiens,Expression profiling by high throughput sequencing,2022/05/29
Gene expression profile at single cell level of two TDT patients' PBMCs after gene editing treatment.,BCL11A encodes for a zinc-finger transcription factor that plays an important role in B-cell and pDC development. Although the +58 BCL11A enhancer we disrupted was reported as a erythroid specific enhancer__ we needed to further evaluate the potential down regulation of BCL11A in other subpopulations of edited PBMCs. To study the transcriptional impact of BCL11A enhancer gene editing__ we performed single-cell RNA sequencing (scRNA-seq) on PBMCs.,GSE204688,Homo sapiens,Expression profiling by high throughput sequencing,2022/05/29
Single Cell RNA-seq on Human PBMC,To assess the impact of IgG1 and IgG4 variants of a TIGIT-Fc-LIGHT fusion protein on human PBMC expression__ each fusion protein or an untreated control were incubated with human PBMC for 2 days in AIMV lymphoproliferative media. Both IgG1 and IgG4 variants of TIGIT-Fc-LIGHT induced broad immune cell activation on T__ NK__ and myeloid cells.,GSE201999,Homo sapiens,Expression profiling by high throughput sequencing,2022/05/27
T helper 2-biased transcriptional profile predicts HIV envelope-specific polyfunctional CD4+ T cells that correlated with reduced risk of infection in RV144 trial,Despite the critical role antigen-specific T cells play in containing viral infections__ their aggregate frequencies in peripheral blood have not correlated with clinical protection during HIV infection. However__ a subset of HIV-specific T cells__ which are capable of simultaneously producing multiple effector cytokines__ termed polyfunctional T cells__ have correlated with delayed disease progression. HIV-specific polyfunctional T cells have been enumerated and characterized using the intracellular cytokine staining (ICS) assay__ which allows for simultaneous multiplexed analysis of cytokine expression at the single-cell level. In addition__ using an unbiased computational analysis of ICS data generated through the RV144 HIV vaccine case-control study__ we identified vaccine-induced HIV envelope (Env)-specific polyfunctional CD4 T cells as a novel correlate of reduced risk of HIV infection. However__ very little is known about these cells and what differentiates them from other vaccine-elicited T cells. In addition__ the use of sample fixation in the ICS assay prevents those cells from being further interrogated for transcriptional differences. Thus__ we developed a novel live-cell multiplexed cytokine capture assay which allows for identification__ sorting and transcriptional profiling of individual antigen-specific polyfunctional T cells by single-cell RNA-sequencing (scRNA-seq). We applied these methods to peripheral blood samples from participants who had received the RV144 vaccine regimen as part of the HVTN 097 clinical trial. Using this approach__ we discovered transcriptional signatures that specifically identify the single-cell Env-specific CD4 T-cell functional profiles which had correlated with reduced risk of HIV infection in RV144. Interestingly__ this signature is particularly characterized by upregulation of Th2 cytokines__ supporting the hypothesis that the vaccine-induced Env-specific CD4 T cells likely contributed to the reduced risk of infection by providing T cell help to the Env-specific antibody responses. By interrogating the gene signatures that correlated with polyfunctionality__ we have identified potential mechanisms of how vaccine-elicited polyfunctional T cells may contribute to reduced risk of HIV infection.,GSE166945,Homo sapiens,Expression profiling by high throughput sequencing,2022/05/25
Proximal tubule cells in blood and urine have potential as biomarkers for kidney disease biopsies,Early diagnosis and treatment is pivotal to the management of kidney disease__ whereas the pathological mechanisms and minimally invasive diagnostic method still need to be investigated. In the present study__ single-cell RNA sequencing (scRNA-seq) was used to evaluate the heterogeneity of kidney diseases in single cell level. Cellular gene expression profiles of cells of renal tissue__ peripheral blood mononuclear cells (PBMCs) and urine from four nephritis patients were performed. Our analysis revealed 12 subsets of renal cells and leukocytes__ including fibroblast cells__ mesangial cells__ epithelial cells__ proximal tubule cells (PTCs)__ and 6 types of immune cells__ CD8+ T cell__ macrophages (MC)__ nature killer cells (NK)__ dendritic cells (DC)__ B cell and neutrophils. PTCs were detected in both PBMC and urine__ while PTC was negative in healthy blood sample. Multiple populations of fibroblast cells__ mesangial cells and PTCs demonstrated pro-inflammatory or pro-apoptotic responses. Gene expression analysis suggested that chemotactic and activating effect of inflammatory PTCs and fibroblasts on neutropils were critical for the development and progress of nephritis__ which was supported by the widely overexpressed pro-inflammatory genes in these cells. Gene expression profiles of inflammatory PTCs in PBMC__ urine and kidney are highly correlated__ indicating the high possibility of urine and PBMC PTCs in serving as a surrogate for kidney biopsies.,GSE203406,Homo sapiens,Expression profiling by high throughput sequencing,2022/05/23
IL-33-activated calcitonin gene-related peptide-producing memory Th2 cells co-operate with somatosensory neurons to induce conjunctival itch,Allergic conjunctivitis is a chronic inflammatory disease that is characterized by severe itch in the conjunctiva; but how neuro-immune interactions shape the pathogenesis of severe itch remains unclear. We identified a subset of memory-type pathogenic Th2 cells that preferentially expressed Il1rl1-encoding ST2 and Calca-encoding calcitonin gene-related peptide (CGRP) in the inflammatory conjunctiva using a single-cell analysis. The IL-33-ST2 axis in memory Th2 cells controlled the axonal elongation of the peripheral sensory C-fiber and the induction of severe itch. Pharmacological blockade and genetic deletion of CGRP signaling in vivo attenuated scratching behavior. The analysis of giant papillae from patients with severe allergic conjunctivitis revealed ectopic lymphoid structure formation with the accumulation of IL-33-producing epithelial cells and CGRP-producing pathogenic CD4+ T cells accompanied by peripheral nerve elongation. Thus__ the IL-33-ST2-CGRP axis directs severe itch with neuro-reconstruction in the inflammatory conjunctiva and is a potential therapeutic target for severe itch in allergic conjunctivitis.,GSE203217,Homo sapiens; Mus musculus,Expression profiling by high throughput sequencing,2022/05/20
Single-Cell RNA Sequencing to Decipher the Immunogenicity of ChAdOx1 nCoV-19/AZD1222 and mRNA-1273 Vaccines in Patients with Autoimmune Rheumatic Diseases,Objectives: To investigate the differences in efficacy and safety between the vector vaccine ChAdOx1 nCoV-19/AZD1222 (Oxford-AstraZeneca) and mRNA-based vaccine mRNA-1273 (Moderna)__ and evaluate the impact of anti-rheumatic medications on immunogenicity in patients with autoimmune rheumatic diseases (AIRD). Methods: From September 16 to November 15__ 2021__ we consecutively enrolled participants aged≥20 years with AIRD who received COVID-19 vaccination. The level of serum IgG antibodies to the SARS-Cov-2 receptor-binding domain on the spike protein S1 subunit was quantified by electrochemiluminescence immunoassay at 4-6 weeks after vaccination. The immunogenicity and adverse reactions between ChAdOx1 nCov-19/AZD1222 and mRNA-1273 were compared. Results: Of the 243 rheumatic disease patients who received COVID-19 vaccines__ 113 and 130 were immunized with AZD1222 and mRNA-1273__ respectively. The anti-SARS-CoV-2 IgG seropositivity rate was 78.8% (89/113) for AZD1222 and 83.1% (108/130) for mRNA-1273. The level of anti-SARS-Cov-2 IgG was higher in patients who received mRNA-1273 than in those who received AZD1222. Prednisolone-equivalent dose >5 mg/day__ methotrexate (MTX)__ non-anti-tumor necrosis factor (TNF)-a biologics__ and Janus kinase (JAK) inhibitor use were associated with inferior immunogenicity. All reported adverse reactions were minor. More localized pain at the injection site and less fever and chills were observed in patients receiving mRNA-1273 compared with those receiving AZD1222. Rheumatic disease activities after vaccination remained stable in most patients. Conclusions: mRNA-1273 and AZD1222 vaccines exhibited differential immunogenicity and adverse reaction profiles. Our study findings support temporary discontinuation of daily prednisolone dose >5 mg__ MTX__ non-anti-TNF-a biologics__ or JAK inhibitors after COVID-19 vaccination.,GSE203081,Homo sapiens,Expression profiling by high throughput sequencing,2022/05/19
Single-cell RNA sequencing of right atrial blood mononuclear cells offers a novel approach to studying nasopharyngeal carcinoma.,We collected blood samples from the right atrium of newly diagnosed patients with nasopharyngeal carcinoma (NPC) for the first time__ and performed single-cell RNA sequencing of mononuclear cells. We then compared the profiles of cells from atrial blood with those of peripheral venous blood and found that a great difference in the gene expression profiles of T cells and B cells. We speculate that this difference is due to the pulmonary circulation and peripheral capillaries. We also analyzed the data of patients with EBV to provide data for the study of the relationship between EBV and NPC. This study also provides a unique single-cell sequencing dataset that will be a valuable resource in further elucidating the roles of mononuclear cells in NPC pathogenesis.,GSE202604,Homo sapiens,Expression profiling by high throughput sequencing,2022/05/13
Marking the difference in acutely responding human CD8 T cells,The CD8 T cell response features functions that are fundamental for long-lasting immune protection__ including antigen-specific cytolysis and memory. Accordingly__ a range of differentiation subsets have been described with diverse functionalities and corresponding profiles of expression of markers. In both mouse and human systems__ a major distinction has been “memory” versus “effector” terms. On the one hand__ these terms may relate to temporality within the immune response : “effector” indicates the acute phase__ “memory” refers to the post-contraction__ resting phase. On the other hand__ the terms also assign prototypic differentiation phenotypes that may be found at the same time-point : memory or effector subsets__ based on characteristic markers. In this study__ we analyse the human CD8 T cell response to YF-17D vaccination as the best-known model of acute immune response in humans. We study 21 characteristic markers conventionally used in mice and in humans to analyse and describe differentiation__ activation__ cycling__ and so-called effector functions such as cytokine production and degranulation. We find clearly distinct ‘acute traits’ at the peak of the response that are shared amongst all non-naïve antigen-specific subsets__ including in memory phenotype cells. These acute traits were low BCL-2 and high Ki67__ CD38__ HLA- DR__ as well as increased Granzyme B and Perforin__ which have been previously attributed only to effector cells at the peak of the response. Altogether__ we evidenced ‘acute traits’ independent of differentiation phenotypes__ supporting the semantic and marker distinction between “effector” and “acute” terms in the human CD8 T cell response.,GSE148223,Homo sapiens,Genome binding/occupancy profiling by high throughput sequencing,2022/05/05
Single cell RNA sequencing of in vitro generated monocyte-derived macrophage subsets,Analysis of three subsets of monocyte-derived macrophage generated using various differentiation cocktails: M1 (IFN-γ+LPS)__ M2a (IL-4+IL-13) and M2c (IL-10).,GSE199378,Homo sapiens,Expression profiling by high throughput sequencing,2022/05/02
Single-cell assay examining chromatin accessibility reveals transcriptional regulatory variation in the proinflammatory milieu of uremia,A single-cell assay for transposase-accessible chromatin with high-throughput sequencing (scATAC-seq) was applied to compare the single-cell chromatin accessibility profiles of peripheral blood mononuclear cells (PBMCs) that were obtained from healthy volunteers and uremia patients. Besides__ we further revealed the biological functions and regulatory modes of the uremia-related transcription factors (TFs). We principally identified 8 leukocytic clusters using promoter sums of cell type-specific marker genes. Representative TF motifs related to immune cell phenotype identification were found. The comparison of cells from uremia patients and healthy individuals revealed differential candidate TF motifs driving the uremia-associated transcriptomic signature changes__ thereby resulting in variation of multiple immune-inflammatory pathways__ virus infection-related pathways__ and tumor-associated pathways.Our findings reveal transcriptional regulatory variation in uremia-derived PBMCs from an epigenetic perspective__ providing a foundational framework for studies examining proinflammatory mechanisms in uremia and establishing a foundation for future research investigating epigenetic therapy.,GSE158280,Homo sapiens,Genome binding/occupancy profiling by high throughput sequencing,2022/04/27
Single-cell RNA sequencing of PBMCs sampled from COVID-19 patients,To explore the underlying mechanism of recurrent SARS-CoV-2 infection in convalescent patients. We performed single-cell RNA sequencing on peripheral blood mononuclear cells isolated from a recurrent patient__ taking 14 recovered COVID-19 patients and 4 dead COVID-19 patients as controls.,GSE165182,Homo sapiens,Expression profiling by high throughput sequencing,2022/04/22
Biologic correlates of COVID-19 resolution using single cell RNA sequecing,We report a case of full resolution of severe COVID-19 due to convalescent plasma transfusion. Following transfusion__ the patient showed fever remission__ improved respiratory status__ and rapidly decreased viral burden in respiratory fluids and SARS-CoV-2 RNAemia. Longitudinal single-cell transcriptomics of peripheral blood cells conducted prior to and at multiple times after convalescent plasma transfusion identified the key biological processes associated with the transition from severe disease to disease-free state. This included post-transfusion disappearance of a subset of monocytes characterized by hyperactivated Interferon responses and decreased TNF-α signaling.,GSE200896,Homo sapiens,Expression profiling by high throughput sequencing,2022/04/18
A dynamic single cell-based framework for digital twins to prioritize disease genes and drug targets,A major health care problems today is that drug treatment is ineffective for many patients. This may depend on the involvement of thousands of genes__ which vary between patients with the same diagnosis at different time points. Identification and prioritization of upstream regulatory (UR) genes for precision medicine are therefore great challenges. In this study__ we present a framework to model dynamic cellulome- and genome-wide changes in digital twins__ to prioritize UR genes. We used seasonal allergic rhinitis (SAR) as a disease model because the external trigger (pollen) is known__ so that the disease process can be mimicked by time series analyses of in vitro allergen-stimulated PBMC from SAR patients. Based on single cell profiling data from different stages of the disease__ we constructed network models__ hypothesizing that the directed molecular interactions between cell types could be traced to find an UR cell type and gene. This hypothesis was rejected because the cellular interactions formed multi-directional networks__ rather than linear hierarchies. Instead__ we were successfully able to rank and prioritize the URs based on their relative effects on the different cell types. We propose that this ranking strategy is a scalable approach for organizing and analyzing cellulome- and genome-wide data in digital twins.,GSE180697,Homo sapiens,Expression profiling by high throughput sequencing,2022/04/12
Endothelial-immune crosstalk contributes to vasculopathy in nonalcoholic fatty liver disease,Cardiovascular complications are major causes of death in non-alcoholic fatty liver disease (NAFLD) but the underlying endothelial pathophysiology remains understudied. Here__ we cultivated blood outgrowth endothelial cells (BOECs) from NAFLD patients and healthy controls. Our transcriptomic analysis revealed that NAFLD BOECs were activated with chemokine hallmarks__ in particular__ enhanced CXCL12 was confirmed in arterial tissues of mouse NAFLD models. Immunoprofiling by single-cell analysis further uncovered T cell intensification and potentially T-helper type 1 inflammatory reactions in NAFLD. In evaluating CXCL12-CXCR4 axis in chemotaxis__ CXCR4 antagonist (AMD3100) substantially modulated the migration of CD4+ Tcells__ natural killer cells and monocytes towards NAFLD BOECs__ which was not observed in healthy control coculture. We found that NAFLD and healthy BOECs might preferentially recruit distinct subsets of immune cells__ as a result of unique chemokine ligand-receptor interactions. Finally__ we enumerated two folds more circulating endothelial cells__ a biomarker of vascular injury__ in NAFLD patients than healthy subjects. Our work provides insights for modulation of endothelial-immune crosstalk as an avenue for mitigating endothelial dysfunction in NAFLD. ,GSE179886,Homo sapiens,Expression profiling by high throughput sequencing,2022/04/11
Single-cell eQTL mapping identifies cell type specific genetic control of autoimmune disease [scRNAseq_data],The human immune system displays remarkable variation between individuals__ leading to differences in susceptibility to autoimmune disease. We present single cell RNA sequence data from 1__267__768 peripheral blood mononuclear cells from 982 healthy human subjects. For 14 cell types__ we identified 26__597 independent cis-expression quantitative trait loci (eQTLs) and 990 trans-eQTL__ with the majority showing cell type specific effects on gene expression. We subsequently show how eQTLs have dynamic allelic effects in B cells transitioning from na√Øve to memory states and demonstrate how commonly segregating alleles lead to inter-individual variation in immune function. Finally__ utilizing a Mendelian randomization approach__ we identify the causal route by which 305 risk loci contribute to autoimmune disease at the cellular level. This work brings together genetic epidemiology with scRNA-seq to uncover drivers of inter-individual variation in the immune system.,GSE196735,Homo sapiens,Expression profiling by high throughput sequencing,2022/04/08
