GSE,Title,PMID,Summary,Design,Experiment_type,Platform,Contributors,Organization_name,Country,Sample,Status,Submission_date,Last_update_date
GSE163260,The human memory T cell compartment changes across tisses of the female reproductive tract,33953338,"We report transcriptomic analysis of CD4 T cells isolated from vaginal, ectocervical, and endocervical tissues from 4 individuals.","Human blood, cervial, and vaginal tissues were collected from healthy women undergoing elective surgeries. Freshly isolated tissues were enzymatically processed into single cell suspensions, and blood was collected into ACD tubes and then the PBMC layer isolated uring a Lymphoprep gradient.  Cells were stained for Live/Dead, CD45, CD3, CD4, CD69, CD103 and Live, CD45+CD3+CD4+ cells were sorted into different CD69/CD103 expressiing populations.",Expression profiling by high throughput sequencing,Illumina HiSeq 2500 (Homo sapiens),Prlic M;Lund J,2066672216,USA,GSM4976229;GSM4976230;GSM4976231;GSM4976232;GSM4976233;GSM4976234;GSM4976235;GSM4976236;GSM4976237;GSM4976238;GSM4976239;GSM4976240;GSM4976241;GSM4976242;GSM4976243;GSM4976244;GSM4976245;GSM4976246;GSM4976247;GSM4976248;GSM4976249;GSM4976250;GSM4976251;GSM4976252;GSM4976253;GSM4976254;GSM4976255;GSM4976256;GSM4976257;GSM4976258;GSM4976259;GSM4976260;GSM4976261;GSM4976262;GSM4976263;GSM4976264;GSM4976265;GSM4976266;GSM4976267;GSM4976268;GSM4976269;GSM4976270;GSM4976271;GSM4976272,"Apr 28, 2021","Dec 15, 2020","Jul 29, 2021"
GSE161354,A single-cell atlas of the peripheral immune  response in patients with HFRS.,34113638,"Hemorrhagic Fever with Renal Syndrome (HFRS) is a regional infectious disease of epidemic potential caused by the Hantaan Virus (HTNV).The studies  on immunological responses during HTNV infection have continuously been performed. During HTNV infection, lymphocytes are following a tightly controlled genetic programme.The pathological changes of PBMCs also occured during HTNV infection. We used single cell RNA sequencing to detail the cellular components and gene expression profiles of PBMCs underlying HTNV infection.",The PBMCs were isolated from the whole blood of HFRS patients. We selected PBMCs from acute phase of HFRS patients and performed scRNA seq.,Expression profiling by high throughput sequencing,Illumina NovaSeq 6000 (Homo sapiens),Zhang Y;Tang K,Fourth Military Medical University,China,GSM4905210;GSM4905211;GSM4905212;GSM4905213;GSM4905214;GSM4905215;GSM4905216;GSM4905217,"Apr 28, 2021","Nov 12, 2020","Dec 31, 2021"
GSE172495,SINGLE-CELL CHARACTERIZATION OF A MODEL OF POLY I:C-STIMULATED PERIPHERAL BLOOD MONONUCLEAR CELLS IN SEVERE ASTHMA,33902571,"Background: Asthma has been associated with impaired interferon response. Multiple cell types have been implicated in such response impairment and may be responsible for asthma immunopathology. However, existing models to study the immune response in asthma are limited by bulk profiling of cells. Our objective was to Characterize a model of peripheral blood mononuclear cells (PBMCs) of patients with severe asthma (SA) and its response to the TLR3 agonist Poly I:C using two single-cell methods.   Methods: Two complementary single-cell methods, DropSeq for single-cell RNA sequencing (scRNA-Seq) and mass cytometry (CyTOF), were used to profile PBMCs of SA patients and healthy controls (HC). Poly I:C-stimulated and unstimulated cells were analyzed in this study.   Results: PBMCs (n=9,414) from five SA (n=6,099) and three HC (n=3,315) were profiled using scRNA-Seq. Six main cell subsets, namely CD4+ T cells, CD8+ T cells, natural killer (NK) cells, B cells, dendritic cells (DCs), and monocytes, were identified. CD4+ T cells were the main cell type in SA and demonstrated a pro-inflammatory profile characterized by increased JAK1 expression. Following Poly I:C stimulation, PBMCs from SA had a robust induction of interferon pathways compared with HC. CyTOF profiling of Poly I:C stimulated and unstimulated PBMCs (n=160,000) from the same individuals (SA=5; HC=3) demonstrated higher CD8+ and CD8+ effector T cells in SA at baseline, followed by a decrease of CD8+ effector T cells after poly I:C stimulation.  Conclusions: Single-cell profiling of an in vitro model using PBMCs in patients with SA identified activation of pro-inflammatory pathways at baseline and strong response to Poly I:C, as well as quantitative changes in CD8+ effector cells. Thus, transcriptomic and cell quantitative changes are associated with immune cell heterogeneity in this model to evaluate interferon responses in severe asthma.",PBMCs from five patients with severe asthma and three healthy controls were compared at baseline and following poly (I:C) stimulation.,Expression profiling by high throughput sequencing,Illumina HiSeq 2500 (Homo sapiens),Gomez J,Yale University,USA,GSM5257967;GSM5257968;GSM5257969;GSM5257970;GSM5257971;GSM5257972;GSM5257973;GSM5257974;GSM5257975;GSM5257976;GSM5257977;GSM5257978;GSM5257979;GSM5257980;GSM5257981;GSM5257982,"Apr 22, 2021","Apr 21, 2021","Nov 16, 2021"
GSE172131,Single-cell RNA sequencing reveals the transcriptomic characteristics of Tregs and TNFR2+ Tregs isolated from tumor tissues and peripheral blood of patients with gastric cancer,34766338,"This study aimed to explore the characteristics and role of TNFR2+ Tregs in the microenvironment and progression of gastric cancer by single-cell RNA sequencing.We obtained Tregs from tumor tissues and peripheral blood of three GC patients.Through single-cell RNA sequencing, we found tumor-infiltrating Tregs express high levels of TNFR2. The TNF-a/TNFR2 signaling pathway is activated, accompanied by upregulation of costimulatory molecules. Compared to blood Tregs, tumor-infiltrating Tregs exhibit activated and effector states. In addition to expressing costimulatory molecules such as TNFR2, 4-1BB, OX40 and GITR, tumor-infiltrating Tregs are also characterized by high expression of immune checkpoints such as CTLA-4 and TIGIT and chemokines such as CCR6.This study revealed a high infiltration level of TNFR2+ Tregs with the characteristics of activated and effector Tregs in the tumor microenvironment. Our study provides a new theoretical basis for TNFR2+ Tregs as a therapeutic target in gastric cancer.",mRNA profiles of tumor-infiltrating Tregs and blood-Tregs from 3 patients with gastric cancer,Expression profiling by high throughput sequencing,Illumina NovaSeq 6000 (Homo sapiens),Qu Y;Wang X;Bai S;Niu L;Zhao G;Yao Y;Li B;Li H,86-13516188692,China,GSM5242413;GSM5242414;GSM5242415;GSM5242416;GSM5242417;GSM5242418,"Apr 16, 2021","Apr 15, 2021","Aug 02, 2022"
GSE171555,Single-cell RNA-seq of human peripheral blood mononuclear cells in COVID-19,33870241,"We carried out sex-balanced sampling of peripheral blood mononuclear cells (PBMCs) from confirmed COVID-19 inpatients (hospitalized) and outpatients (infected), uninfected close contacts (exposed), and healthy controls.","We collected 48 PBMC samples from 24 participants in this study. In exposed and infected cohorts, 13 subjects were sampled longitudinally with 2 or 3 samples per individual. Each sample is associated with 3 files of processed data and 12 files of raw data.",Expression profiling by high throughput sequencing,Illumina NovaSeq 6000 (Homo sapiens),Yu C;Littleton S;Giroux N;Shen X;Saban D,Duke University,USA,GSM5227107;GSM5227108;GSM5227109;GSM5227110;GSM5227111;GSM5227112;GSM5227113;GSM5227114;GSM5227115;GSM5227116;GSM5227117;GSM5227118;GSM5227119;GSM5227120;GSM5227121;GSM5227122;GSM5227123;GSM5227124;GSM5227125;GSM5227126;GSM5227127;GSM5227128;GSM5227129;GSM5227130;GSM5227131;GSM5227132;GSM5227133;GSM5227134;GSM5227135;GSM5227136;GSM5227137;GSM5227138;GSM5227139;GSM5227140;GSM5227141;GSM5227142;GSM5227143;GSM5227144;GSM5227145;GSM5227146;GSM5227147;GSM5227148;GSM5227149;GSM5227150;GSM5227151;GSM5227152;GSM5227153;GSM5227154,"Apr 15, 2021","Apr 06, 2021","Apr 26, 2021"
GSE157910,Single-cell analysis of chromatin silencing programs in development and tumor progression,"33846646, 35941215","Single-cell analysis has become a powerful approach for the molecular characterization of complex tissues. Methods for quantifying gene expression and chromatin accessibility2 of single cells are now well-established, but analysis of chromatin regions with specific histone modifications has been technically challenging.  Here, we adapt the recently published CUT&Tag method3 to scalable single-cell platforms to profile chromatin landscapes in single cells (scCUT&Tag) from complex tissues. We focus on profiling Polycomb Group (PcG) silenced regions marked by H3K27 trimethylation (H3K27me3) in single cells as an orthogonal approach to chromatin accessibility for identifying cell states. We show that scCUT&Tag profiling of H3K27me3 distinguishes cell types in human blood and allows the generation of cell-type-specific PcG landscapes from heterogeneous tissues. Furthermore, we use scCUT&Tag to profile H3K27me3 in a brain tumor patient before and after treatment, identifying cell types in the tumor microenvironment and heterogeneity in PcG activity in the primary sample and after treatment.","We used Cleavage under targets and Tagmentation (Cut-and-Tag), a chromatin profiling strategy in which antibody-targeted controlled integration of DNA sequencing adapters produce libraries in nuclei. The resulting nuclei were isolated either by a microwell approach (Takara’s iCell8) or by a microfluidic approach (10x Genomic’s GEM) where unique barcodes are added, followed by paired-end sequencing.",Genome binding/occupancy profiling by high throughput sequencing<br/>Other,Illumina HiSeq 2500 (Homo sapiens),Henikoff S;Kaya-Okur HS;Ahmad K;Wu SJ;Furlan SN;Patel AP;Mihalas AB,206-667-4850,USA,GSM4780537;GSM4780538;GSM4780539;GSM4780540;GSM4780541;GSM4780542;GSM4780543;GSM4780544;GSM4780545;GSM4780546;GSM4780547;GSM4780548;GSM4780550;GSM4780551;GSM5034342;GSM5034343;GSM5034344,"Apr 12, 2021","Sep 14, 2020","May 17, 2023"
GSE155224,Single-Cell Omics Reveals Dyssynchrony of the Innate and Adaptive Immune System in Progressive COVID-19,"35064122, 36596303",This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,Expression profiling by high throughput sequencing<br/>Other,Illumina NovaSeq 6000 (Homo sapiens),,Yale University,USA,GSM4697605;GSM4697606;GSM4697607;GSM4697608;GSM4697609;GSM4697610;GSM4697611;GSM4697612;GSM4697613;GSM4697614;GSM4697615;GSM4697616;GSM4697617;GSM4697618;GSM4697619;GSM4697620;GSM4697621;GSM4697622;GSM4697623;GSM4697624;GSM4697625;GSM4697626;GSM4697627;GSM4697628,"Apr 05, 2021","Jul 27, 2020","Jan 05, 2023"
GSE155223,Single-Cell Omics Reveals Dyssynchrony of the Innate and Adaptive Immune System in Progressive COVID-19 [single-cell RNA-seq],"35064122, 36596303","A dysregulated immune response against the SARS-CoV-2 virus plays a critical role in severe COVID-19. However, the molecular and cellular mechanisms by which the virus causes lethal immunopathology are poorly understood. Here, we utilize multi-omics single-cell analysis to probe dynamic immune responses in patients with stable or progressive manifestations of COVID-19, and assess the effects of tocilizumab, an anti-IL-6 receptor monoclonal antibody. Coordinated profiling of gene expression and cell lineage protein markers reveals a prominent type-1 interferon response across all immune cells, especially in progressive patients. An anti-inflammatory signature in monocytes and a pre-exhaustion phenotype in activated T cells are hallmarks of progressive disease. Single-cell T and B cell receptor repertoire analysis reveal a skewed clonal distribution of CD8 T cells and a primary B cell response with possible contribution from memory B cells. Our in-depth immune profiling reveals dyssynchrony of the innate and adaptive immune interaction in progressive COVID-19, which may contribute to delayed virus clearance and has implications for therapeutic intervention.","18 PBMC samples from 10 patients at various time points were studied. Age and sex matched healthy subjects (n=13) whose samples were collected before the COVID-19 pandemic were used as controls. Single-cell RNA sequencing (scRNA-seq) was performed, as well as surface protein libraries (CITE-seq), T cell receptor (TCR) libraries and B cell receptor (BCR) libraries. The processed data for the control samples exist solely within the Seurat Rds file. There are no additional metadata or processed data files for the control samples, as there are for the COVID-19 samples.",Expression profiling by high throughput sequencing,Illumina NovaSeq 6000 (Homo sapiens),Unterman A;Sumida T;Hafler DA;Kaminski N;Dela Cruz CS,Yale University,USA,GSM4697611;GSM4697612;GSM4697613;GSM4697614;GSM4697615;GSM4697616;GSM4697617;GSM4697618;GSM4697619;GSM4697620;GSM4697621;GSM4697622;GSM4697623;GSM4697624;GSM4697625;GSM4697626;GSM4697627;GSM4697628,"Apr 05, 2021","Jul 27, 2020","Jan 05, 2023"
GSE155222,Single-Cell Omics Reveals Dyssynchrony of the Innate and Adaptive Immune System in Progressive COVID-19 [CITE-seq],"35064122, 36596303","A dysregulated immune response against the SARS-CoV-2 virus plays a critical role in severe COVID-19. However, the molecular and cellular mechanisms by which the virus causes lethal immunopathology are poorly understood. Here, we utilize multi-omics single-cell analysis to probe dynamic immune responses in patients with stable or progressive manifestations of COVID-19, and assess the effects of tocilizumab, an anti-IL-6 receptor monoclonal antibody. Coordinated profiling of gene expression and cell lineage protein markers reveals a prominent type-1 interferon response across all immune cells, especially in progressive patients. An anti-inflammatory signature in monocytes and a pre-exhaustion phenotype in activated T cells are hallmarks of progressive disease. Single-cell T and B cell receptor repertoire analysis reveal a skewed clonal distribution of CD8 T cells and a primary B cell response with possible contribution from memory B cells. Our in-depth immune profiling reveals dyssynchrony of the innate and adaptive immune interaction in progressive COVID-19, which may contribute to delayed virus clearance and has implications for therapeutic intervention.","18 PBMC samples from 10 patients at various time points were studied. Age and sex matched healthy subjects (n=13) whose samples were collected before the COVID-19 pandemic were used as controls. Single-cell RNA sequencing (scRNA-seq) was performed, as well as surface protein libraries (CITE-seq), T cell receptor (TCR) libraries and B cell receptor (BCR) libraries. Detailed sample metadata are included in the tar archive with the processed data. The processed data for the control samples exist solely within the Seurat Rds file. There are no additional metadata or processed data files for the control samples, as there are for the COVID-19 samples.",Other,Illumina NovaSeq 6000 (Homo sapiens),Unterman A;Sumida T;Hafler DA;Kaminski N;Dela Cruz CS,Yale University,USA,GSM4697605;GSM4697606;GSM4697607;GSM4697608;GSM4697609;GSM4697610,"Apr 05, 2021","Jul 27, 2020","Jan 05, 2023"
GSE166489,Immune dysregulation and autoreactivity correlate with disease severity in SARS-CoV-2-associated multisystem inflammatory syndrome in children,33891889,"Multisystem inflammatory syndrome in children (MIS-C) is a life-threatening post-infectious complication occurring unpredictably weeks after mild or asymptomatic SARS-CoV2 infection in otherwise healthy children. Here, we define immune abnormalities in MIS-C compared to adult COVID-19 and pediatric/adult healthy controls using single-cell RNA sequencing, antigen receptor repertoire analysis, unbiased serum proteomics, and in vitro assays. Despite no evidence of active infection, we uncover elevated S100A-family alarmins in myeloid cells and marked enrichment of serum proteins that map to myeloid cells and pathways including cytokines, complement/coagulation, and fluid shear stress in MIS-C patients. Moreover, NK and CD8 T cell cytotoxicity genes are elevated, and plasmablasts harboring IgG1 and IgG3 are expanded. Consistently, we detect elevated binding of serum IgG from severe MIS-C patients to activated human cardiac microvascular endothelial cells in culture. Thus, we define immunopathology features of MIS-C with implications for predicting and managing this SARS-CoV2-induced critical illness in children.","Single-cell RNA sequencing of PBMCs from 7 patients with MIS-C (severe and moderate, with 2 samples from recovered patients) and 6 pediatric healthy donors.",Expression profiling by high throughput sequencing,Illumina NovaSeq 6000 (Homo sapiens),Ramaswamy A;Lucas CL,Yale University,USA,GSM5073055;GSM5073056;GSM5073057;GSM5073058;GSM5073059;GSM5073060;GSM5073061;GSM5073062;GSM5073063;GSM5073064;GSM5073065;GSM5073066;GSM5073067;GSM5073068;GSM5073069;GSM5073070;GSM5073071;GSM5073072;GSM5073073;GSM5073074;GSM5073075;GSM5073076;GSM5073077;GSM5073078;GSM5073079;GSM5073080;GSM5073081;GSM5073082;GSM5073083;GSM5073084;GSM5073085;GSM5073086;GSM5073087;GSM5073088;GSM5073089;GSM5073090;GSM5073091;GSM5073092;GSM5073093;GSM5073094;GSM5073095;GSM5073096;GSM5073097;GSM5073098;GSM5073099;GSM5073100;GSM5073101;GSM5073102;GSM5073103;GSM5073104;GSM5073105;GSM5073106;GSM5073107;GSM5073108,"Apr 02, 2021","Feb 09, 2021","Jul 20, 2021"
GSE158013,"Simultaneous trimodal single cell measurement of transcripts, epitopes, and chromatin accessibility using TEA-seq",33835024,"Single-cell measurements of cellular characteristics have been instrumental in understanding the heterogeneous pathways that drive differentiation, cellular responses to signals, and human disease. Recent advances have allowed paired capture of protein abundance and transcriptomic state, but a lack of epigenetic information in these assays has left a missing link to gene regulation. Using the heterogeneous mixture of cells in human peripheral blood as a test case, we developed a novel scATAC-seq workflow that increases signal-to-noise and allows paired measurement of cell surface markers and chromatin accessibility: Integrated Cellular Indexing of Chromatin Landscape and Epitopes (ICICLE-seq). We extended this approach using a droplet-based multiomics platform to develop a trimodal assay that simultaneously measures Transcriptomics (scRNA-seq), Epitopes, and chromatin Accessibility (scATAC-seq) from thousands of single cells, which we term TEA-seq. Together, these multimodal single-cell assays provide a novel toolkit to identify type-specific gene regulation and expression grounded in phenotypically defined cell types.","PBMCs were profiled using a variety of multi-modal sequencing assays. We processed PBMCs through a number of single-cell and single-nuclei ATAC-seq protocols during development and identification of an optimized scATAC-seq assay. We processed PBMCs through our ICICLE-seq assay: a novel method for simultaneous profiling of chromatin accessibility and surface epitopes. We processed PBMCs through TEA-seq: a novel method for simulaneous single-cell profling of transcripts, epitopes, and chromatin accessiblity. As part of TEA-seq testing we prepared CITE-seq, scATAC-seq, single-cell and single-nuclei 10x Multiome ATAC + Gene Expression, and TEA-seq libraries from the same PBMC sample in parallel.**The submitter declares that the raw data are being deposited in dbGaP due to patient privacy concerns. dbGap: phs002316**",Genome binding/occupancy profiling by high throughput sequencing<br/>Expression profiling by high throughput sequencing,Illumina NextSeq 500 (Homo sapiens),Swanson E;Lord C;Green R;Bumol TF;Graybuck LT;Skene PJ,2065487135,USA,GSM4784064;GSM4784065;GSM4784066;GSM4784067;GSM4784068;GSM4784069;GSM4784070;GSM4784071;GSM4784072;GSM4784073;GSM4784074;GSM4784075;GSM4784076;GSM4784077;GSM4784078;GSM4784079;GSM4784080;GSM4784081;GSM4784082;GSM4784083;GSM4784084;GSM4784085;GSM4784086;GSM4784087;GSM4784088;GSM4949911;GSM5123948;GSM5123949;GSM5123950;GSM5123951;GSM5123952;GSM5123953;GSM5123954;GSM5123955,"Apr 02, 2021","Sep 15, 2020","Oct 04, 2021"
GSE171166,Splicing patterns in SF3B1 mutated uveal melanoma generate shared immunogenic tumor-specific neo-epitopes [bulk TCR-seq],33811047,"Purpose: In this study, we show that mutations of the splicing factor SF3B1 in uveal melanoma (UM) generate immunogenic neo-antigens.","Thawed  PBMC  from  patient  UM1 were  stained  with PE  and  APC  tetramers  loaded with  peptide 37,  then  tetramer  positive  cells  were  positively enriched  using  anti-APC  and  anti-PE  microbeads (Miltenyi Biotech), stained with CD3 A700 and CD8 FITC and finally with DAPI. The positive fraction was sorted in a FACS ARIA (BD). To combine 5 tetramer positive populations from 2 donors (14, 17, 26  and  37  for  UM2  and  18  for  UM3)  the  tetramers  were  prepared  using  5  different  TotalSeq-PE streptavidins  (BioLegend)  and  1  classical  fluorochrome-streptavidin  (APC,  PE-CF594,  PE-Cy5,  PE-Cy7), PE-CF594 was used for UM3 who had only one population sorted. The PBMC were stained with the 4 pairs of tetramers for patient UM2 and 1 pair of tetramers for patient UM3, enriched with anti PE-microbeads (Milteny Biotech), stained with CD3 A700 and CD8 FITC and DAPI and sorted separately. The  cells  were  then  counted,  mixed  and  loaded  onto  a  Chromium  controller  using  Chromium  next GEM  Single  Cell  V(D)J  reagent  kit  with  feature  barcoding  technology  according to manufacturer’s instructions",Other,Illumina MiSeq (Homo sapiens),Bigot J;Lalanne AI;Gueguen P,Institut Curie,France,GSM5220238;GSM5220239;GSM5220240;GSM5220241,"Mar 31, 2021","Mar 30, 2021","Apr 04, 2021"
GSE147808,SCITO-seq: single-cell combinatorial indexed cytometry sequencing,,"We introduce single cell combinatorial indexed cytometry by sequencing (SCITO-seq), a single cell proteomics workflow that combines split-pool indexing and droplet-based sequencing","Human/Mouse cell line experiment, Human mixture experiment using T/B cells and whole PBMC (two human donors used)",Expression profiling by high throughput sequencing,Illumina NovaSeq 6000 (Homo sapiens),Hwang B,UCSF,USA,GSM4446413;GSM4446414;GSM4446415;GSM4446416,"Mar 31, 2021","Mar 31, 2020","Apr 02, 2021"
GSE156989,Multimodal Analysis for Human ex vivo Studies Shows Extensive Molecular Changes from Delays in Blood Processing,34113805,"Multi-omic profiling of human peripheral blood is increasingly utilized to identify biomarkers and pathophysiologic mechanisms of disease. The importance of these platforms in clinical and translational studies led us to investigate the impact of delayed blood processing on the numbers and state of peripheral blood mononuclear cells (PBMC) and on the plasma proteome. Similar to previous studies, we show minimal effects of delayed processing on the numbers and general phenotype of PBMCs up to 18 hours. In contrast, profound changes in the single-cell transcriptome and composition of the plasma proteome become evident as early as 6 hours after blood draw. These reflect patterns of cellular activation across diverse cell types that lead to progressive distancing of the gene expression state and plasma proteome from native in vivo biology. Differences accumulating during an overnight rest (18 hours) could confound relevant biologic variance related to many underlying disease states.","To study the effects of delays in PBMC processing from whole blood we performed two similar but independent experiments. In Experiment 1, we isolated PBMC from whole blood at 2, 4, 6, 8, and 18 hours after blood draw from healthy donors (n=3) or those diagnosed with systemic lupus erythematosus (SLE, n=3). In Experiment 2, we assayed PBMC isolated from only healthy donors (n=4) starting at 2, 4, 6, 10, 14, and 18 hours after blood draw. In both experiments, the whole blood was held in the dark at room temperature prior to PBMC isolation by Ficoll gradient separation. PBMC were assayed after freeze/thaw by 10x Genomics single-cell RNA-sequencing.>>> Submitter states that raw data will be submitted to dbGaP due to patient privacy concerns. dbGap: phs002280<<<",Expression profiling by high throughput sequencing,Illumina NovaSeq 6000 (Homo sapiens),Savage AK;Gutschow MV;Chiang T;Henderson KF;Green R;Chaudhari M;Swanson E;Heubeck AT;Kondza N;Burley KC;Genge PC;Lord C;Smith T;Thomson Z;Beaubien A;Johnson E;Goldy J;Bolouri H;Buckner JH;Meijer P;Coffey EM;Skene PJ;Torgerson TR;Li X;Bumol TF,2065487135,USA,GSM4749756;GSM4749758;GSM4749759;GSM4749760;GSM4749761;GSM4749762;GSM4749764;GSM4749765;GSM4749766;GSM4749767;GSM4749768;GSM4749770;GSM4749771;GSM4749772;GSM4749773;GSM4749774;GSM4749775;GSM4749776;GSM4749777;GSM4749778;GSM4749779;GSM4749780;GSM4749781;GSM4749782;GSM4749783;GSM4749784;GSM4749785;GSM4749786;GSM4749787;GSM4749788;GSM4749789;GSM4749790;GSM4749791;GSM4749792;GSM4749793;GSM4749794;GSM4749795;GSM4749796;GSM4749797;GSM4749798;GSM4749799;GSM4749800;GSM4749801;GSM4749802;GSM4749803;GSM4749804;GSM4749805;GSM4749806;GSM4749807;GSM4749808;GSM4749809;GSM4749810;GSM5211175;GSM5211176;GSM5211177,"Mar 29, 2021","Aug 27, 2020","Mar 14, 2022"
GSE169610,Splicing patterns in SF3B1 mutated uveal melanoma generate shared immunogenic tumor-specific neo-epitopes,33811047,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,Expression profiling by high throughput sequencing<br/>Other,Illumina MiSeq (Homo sapiens),,Institut Curie,France,GSM5210599;GSM5210600;GSM5210609;GSM5210635;GSM5210636;GSM5220238;GSM5220239;GSM5220240;GSM5220241,"Mar 26, 2021","Mar 25, 2021","Apr 04, 2021"
GSE169609,Splicing patterns in SF3B1 mutated uveal melanoma generate shared immunogenic tumor-specific neo-epitopes [scRNA-seq],33811047,"Purpose: In this study, we show that mutations of the splicing factor SF3B1 in uveal melanoma (UM) generate immunogenic neo-antigens.","Thawed  PBMC  from  patient  UM1 were  stained  with PE  and  APC  tetramers  loaded with  peptide 37,  then  tetramer  positive  cells  were  positively enriched  using  anti-APC  and  anti-PE  microbeads (Miltenyi Biotech), stained with CD3 A700 and CD8 FITC and finally with DAPI. The positive fraction was sorted in a FACS ARIA (BD). To combine 5 tetramer positive populations from 2 donors (14, 17, 26  and  37  for  UM2  and  18  for  UM3)  the  tetramers  were  prepared  using  5  different  TotalSeq-PE streptavidins  (BioLegend)  and  1  classical  fluorochrome-streptavidin  (APC,  PE-CF594,  PE-Cy5,  PE-Cy7), PE-CF594 was used for UM3 who had only one population sorted. The PBMC were stained with the 4 pairs of tetramers for patient UM2 and 1 pair of tetramers for patient UM3, enriched with anti PE-microbeads (Milteny Biotech), stained with CD3 A700 and CD8 FITC and DAPI and sorted separately. The  cells  were  then  counted,  mixed  and  loaded  onto  a  Chromium  controller  using  Chromium  next GEM  Single  Cell  V(D)J  reagent  kit  with  feature  barcoding  technology  according to manufacturer’s instructions",Expression profiling by high throughput sequencing,Illumina NovaSeq 6000 (Homo sapiens),Bigot J;Lalanne AI;Gueguen P,Institut Curie,France,GSM5210635;GSM5210636,"Mar 26, 2021","Mar 25, 2021","Apr 04, 2021"
GSE169605,Splicing patterns in SF3B1 mutated uveal melanoma generate shared immunogenic tumor-specific neo-epitopes [scADT-seq],33811047,"Purpose: In this study, we show that mutations of the splicing factor SF3B1 in uveal melanoma (UM) generate immunogenic neo-antigens.","Thawed  PBMC  from  patient  UM1 were  stained  with PE  and  APC  tetramers  loaded with  peptide 37,  then  tetramer  positive  cells  were  positively enriched  using  anti-APC  and  anti-PE  microbeads (Miltenyi Biotech), stained with CD3 A700 and CD8 FITC and finally with DAPI. The positive fraction was sorted in a FACS ARIA (BD). To combine 5 tetramer positive populations from 2 donors (14, 17, 26  and  37  for  UM2  and  18  for  UM3)  the  tetramers  were  prepared  using  5  different  TotalSeq-PE streptavidins  (BioLegend)  and  1  classical  fluorochrome-streptavidin  (APC,  PE-CF594,  PE-Cy5,  PE-Cy7), PE-CF594 was used for UM3 who had only one population sorted. The PBMC were stained with the 4 pairs of tetramers for patient UM2 and 1 pair of tetramers for patient UM3, enriched with anti PE-microbeads (Milteny Biotech), stained with CD3 A700 and CD8 FITC and DAPI and sorted separately. The  cells  were  then  counted,  mixed  and  loaded  onto  a  Chromium  controller  using  Chromium  next GEM  Single  Cell  V(D)J  reagent  kit  with  feature  barcoding  technology  according to manufacturer’s instructions",Other,Illumina NovaSeq 6000 (Homo sapiens),Bigot J;Lalanne AI;Gueguen P,Institut Curie,France,GSM5210609,"Mar 26, 2021","Mar 25, 2021","Apr 04, 2021"
GSE169603,Splicing patterns in SF3B1 mutated uveal melanoma generate shared immunogenic tumor-specific neo-epitopes [scTCR-seq],33811047,"Purpose: In this study, we show that mutations of the splicing factor SF3B1 in uveal melanoma (UM) generate immunogenic neo-antigens.","Thawed  PBMC  from  patient  UM1 were  stained  with PE  and  APC  tetramers  loaded with  peptide 37,  then  tetramer  positive  cells  were  positively enriched  using  anti-APC  and  anti-PE  microbeads (Miltenyi Biotech), stained with CD3 A700 and CD8 FITC and finally with DAPI. The positive fraction was sorted in a FACS ARIA (BD). To combine 5 tetramer positive populations from 2 donors (14, 17, 26  and  37  for  UM2  and  18  for  UM3)  the  tetramers  were  prepared  using  5  different  TotalSeq-PE streptavidins  (BioLegend)  and  1  classical  fluorochrome-streptavidin  (APC,  PE-CF594,  PE-Cy5,  PE-Cy7), PE-CF594 was used for UM3 who had only one population sorted. The PBMC were stained with the 4 pairs of tetramers for patient UM2 and 1 pair of tetramers for patient UM3, enriched with anti PE-microbeads (Milteny Biotech), stained with CD3 A700 and CD8 FITC and DAPI and sorted separately. The  cells  were  then  counted,  mixed  and  loaded  onto  a  Chromium  controller  using  Chromium  next GEM  Single  Cell  V(D)J  reagent  kit  with  feature  barcoding  technology  according to manufacturer’s instructions",Other,Illumina NovaSeq 6000 (Homo sapiens),Bigot J;Lalanne AI;Gueguen P,Institut Curie,France,GSM5210599;GSM5210600,"Mar 26, 2021","Mar 25, 2021","Apr 04, 2021"
