PMID,DOI,Title,Abstract,Author 1st,Affiliation 1st,Journel,Publication time
31914172,10.1182/blood.2019003886,"Epstein-Barr virus (EBV)-associated hemophagocytic lymphohistiocytosis (EBV-HLH) is a life-threatening hyperinflammatory syndrome triggered by EBV infection. It often becomes relapsed or refractory (r/r), given that etoposide-based regimens cannot effectively clear the virus. r/r EBV-HLH is invariably lethal in adults without allogeneic hematopoietic stem cell transplantation. Here, we performed a retrospective analysis of 7 r/r EBV-HLH patients who were treated with nivolumab on a compassionate-use basis at West China Hospital. All 7 patients tolerated the treatment and 6 responded to it. Five of them achieved and remained in clinical complete remission with a median follow-up of 16 months (range, 11.4-18.9 months). Importantly, both plasma and cellular EBV-DNAs were completely eradicated in 4 patients. Single-cell RNA-sequencing analysis showed that HLH syndrome was associated with hyperactive monocytes/macrophages and ineffective CD8 T cells with a defective activation program. Nivolumab treatment expanded programmed death protein-1-positive T cells and restored the expression of HLH-associated degranulation and costimulatory genes in CD8 T cells. Our data suggest that nivolumab, as a monotherapy, provides a potential cure for r/r EBV-HLH, most likely by restoring a defective anti-EBV response.","Epstein-Barr virus (EBV)-associated hemophagocytic lymphohistiocytosis (EBV-HLH) is a life-threatening hyperinflammatory syndrome triggered by EBV infection. It often becomes relapsed or refractory (r/r), given that etoposide-based regimens cannot effectively clear the virus. r/r EBV-HLH is invariably lethal in adults without allogeneic hematopoietic stem cell transplantation. Here, we performed a retrospective analysis of 7 r/r EBV-HLH patients who were treated with nivolumab on a compassionate-use basis at West China Hospital. All 7 patients tolerated the treatment and 6 responded to it. Five of them achieved and remained in clinical complete remission with a median follow-up of 16 months (range, 11.4-18.9 months). Importantly, both plasma and cellular EBV-DNAs were completely eradicated in 4 patients. Single-cell RNA-sequencing analysis showed that HLH syndrome was associated with hyperactive monocytes/macrophages and ineffective CD8 T cells with a defective activation program. Nivolumab treatment expanded programmed death protein-1-positive T cells and restored the expression of HLH-associated degranulation and costimulatory genes in CD8 T cells. Our data suggest that nivolumab, as a monotherapy, provides a potential cure for r/r EBV-HLH, most likely by restoring a defective anti-EBV response.","Liu, Pengpeng","Department of Hematology, Hematology Research Laboratory, State Key Laboratory of Biotherapy and Cancer Center, West China Hospital, Sichuan University, Chengdu, Sichuan, China.",Blood,2020 Mar 12
31533045,10.1016/j.celrep.2019.07.039,"Mucosal-associated invariant T (MAIT) cells are MR1-restricted innate-like T cells conserved across mammalian species, including mice and humans. By sequencing RNA from sorted MR1-5-OP-RU tetramer(+) cells derived from either human blood or murine lungs, we define the basic transcriptome of an activated MAIT cell in both species and demonstrate how this profile changes during the resolution of infection and during reinfection. We observe strong similarities between MAIT cells in humans and mice. In both species, activation leads to strong expression of pro-inflammatory cytokines and chemokines as well as a strong tissue repair signature, recently described in murine commensal-specific H2-M3-restricted T cells. Transcriptomes of MAIT cells and H2-M3-specific CD8+ T cells displayed the most similarities to invariant natural killer T (iNKT) cells when activated, but to gammadelta T cells after the resolution of infection. These data define the requirements for and consequences of MAIT cell activation, revealing a tissue repair phenotype expressed upon MAIT cell activation in both species.","Mucosal-associated invariant T (MAIT) cells are MR1-restricted innate-like T cells conserved across mammalian species, including mice and humans. By sequencing RNA from sorted MR1-5-OP-RU tetramer(+) cells derived from either human blood or murine lungs, we define the basic transcriptome of an activated MAIT cell in both species and demonstrate how this profile changes during the resolution of infection and during reinfection. We observe strong similarities between MAIT cells in humans and mice. In both species, activation leads to strong expression of pro-inflammatory cytokines and chemokines as well as a strong tissue repair signature, recently described in murine commensal-specific H2-M3-restricted T cells. Transcriptomes of MAIT cells and H2-M3-specific CD8+ T cells displayed the most similarities to invariant natural killer T (iNKT) cells when activated, but to gammadelta T cells after the resolution of infection. These data define the requirements for and consequences of MAIT cell activation, revealing a tissue repair phenotype expressed upon MAIT cell activation in both species.","Hinks, Timothy S C","Department of Microbiology and Immunology, Peter Doherty Institute for Infection and Immunity, University of Melbourne, Melbourne, VIC 3000, Australia; Respiratory Medicine Unit, Nuffield Department of Medicine, University of Oxford, OX3 9DU, Oxfordshire, UK. Electronic address: timothy.hinks@ndm.ox.ac.uk.",Cell Rep,2019 Sep 17
36189306,10.3389/fimmu.2022.938106,"CD3(+)/CD56(+) Natural killer (NK) cell-like T-cells (NKT-like cells) represent &lt;5% of blood lymphocytes, display a cytotoxic phenotype, and can kill various cancers. NKT-like cells can be expanded ex vivo into cytokine-induced killer (CIK) cells, however this therapeutic cell product has had mixed results against hematological malignancies in clinical trials. The aim of this study was to determine if NKT-like cells mobilized during acute cycling exercise could be used to generate more potent anti-tumor CIK cells from healthy donors. An acute exercise bout increased NKT-like cell numbers in blood 2-fold. Single cell RNA sequencing revealed that exercise mobilized NKT-like cells have an upregulation of genes and transcriptomic programs associated with enhanced anti-tumor activity, including cytotoxicity, cytokine responsiveness, and migration. Exercise, however, did not augment the ex vivo expansion of CIK cells or alter their surface phenotypes after 21-days of culture. CIK cells expanded at rest, during exercise (at 60% and 80% VO(2max)) or after (1h post) were equally capable of killing leukemia, lymphoma, and multiple myeloma target cells with and without cytokine (IL-2) and antibody (OKT3) priming in vitro. We conclude that acute exercise in healthy donors mobilizes NKT-like cells with an upregulation of transcriptomic programs involved in anti-tumor activity, but does not augment the ex vivo expansion of CIK cells.","CD3(+)/CD56(+) Natural killer (NK) cell-like T-cells (NKT-like cells) represent &lt;5% of blood lymphocytes, display a cytotoxic phenotype, and can kill various cancers. NKT-like cells can be expanded ex vivo into cytokine-induced killer (CIK) cells, however this therapeutic cell product has had mixed results against hematological malignancies in clinical trials. The aim of this study was to determine if NKT-like cells mobilized during acute cycling exercise could be used to generate more potent anti-tumor CIK cells from healthy donors. An acute exercise bout increased NKT-like cell numbers in blood 2-fold. Single cell RNA sequencing revealed that exercise mobilized NKT-like cells have an upregulation of genes and transcriptomic programs associated with enhanced anti-tumor activity, including cytotoxicity, cytokine responsiveness, and migration. Exercise, however, did not augment the ex vivo expansion of CIK cells or alter their surface phenotypes after 21-days of culture. CIK cells expanded at rest, during exercise (at 60% and 80% VO(2max)) or after (1h post) were equally capable of killing leukemia, lymphoma, and multiple myeloma target cells with and without cytokine (IL-2) and antibody (OKT3) priming in vitro. We conclude that acute exercise in healthy donors mobilizes NKT-like cells with an upregulation of transcriptomic programs involved in anti-tumor activity, but does not augment the ex vivo expansion of CIK cells.","Zuniga, Tiffany M","School of Nutritional Sciences and Wellness, The University of Arizona, Tucson, AZ, United States.",Front Immunol,2022 Sep 14
33691089,10.1016/j.celrep.2021.108863,"It is unclear why some SARS-CoV-2 patients readily resolve infection while others develop severe disease. By interrogating metabolic programs of immune cells in severe and recovered coronavirus disease 2019 (COVID-19) patients compared with other viral infections, we identify a unique population of T cells. These T cells express increased Voltage-Dependent Anion Channel 1 (VDAC1), accompanied by gene programs and functional characteristics linked to mitochondrial dysfunction and apoptosis. The percentage of these cells increases in elderly patients and correlates with lymphopenia. Importantly, T cell apoptosis is inhibited in vitro by targeting the oligomerization of VDAC1 or blocking caspase activity. We also observe an expansion of myeloid-derived suppressor cells with unique metabolic phenotypes specific to COVID-19, and their presence distinguishes severe from mild disease. Overall, the identification of these metabolic phenotypes provides insight into the dysfunctional immune response in acutely ill COVID-19 patients and provides a means to predict and track disease severity and/or design metabolic therapeutic regimens.","It is unclear why some SARS-CoV-2 patients readily resolve infection while others develop severe disease. By interrogating metabolic programs of immune cells in severe and recovered coronavirus disease 2019 (COVID-19) patients compared with other viral infections, we identify a unique population of T cells. These T cells express increased Voltage-Dependent Anion Channel 1 (VDAC1), accompanied by gene programs and functional characteristics linked to mitochondrial dysfunction and apoptosis. The percentage of these cells increases in elderly patients and correlates with lymphopenia. Importantly, T cell apoptosis is inhibited in vitro by targeting the oligomerization of VDAC1 or blocking caspase activity. We also observe an expansion of myeloid-derived suppressor cells with unique metabolic phenotypes specific to COVID-19, and their presence distinguishes severe from mild disease. Overall, the identification of these metabolic phenotypes provides insight into the dysfunctional immune response in acutely ill COVID-19 patients and provides a means to predict and track disease severity and/or design metabolic therapeutic regimens.","Thompson, Elizabeth A","Department of Oncology, Johns Hopkins University School of Medicine, Baltimore, MD 21287, USA; Bloomberg approximately Kimmel Institute for Cancer Immunotherapy, Johns Hopkins University School of Medicine, Baltimore, MD 21287, USA.",Cell Rep,2021 Mar 16
32571915,10.1073/pnas.1918937117,"The extent to which immune cell phenotypes in the peripheral blood reflect within-tumor immune activity prior to and early in cancer therapy is unclear. To address this question, we studied the population dynamics of tumor and immune cells, and immune phenotypic changes, using clinical tumor and immune cell measurements and single-cell genomic analyses. These samples were serially obtained from a cohort of advanced gastrointestinal cancer patients enrolled in a trial with chemotherapy and immunotherapy. Using an ecological population model, fitted to clinical tumor burden and immune cell abundance data from each patient, we find evidence of a strong tumor-circulating immune cell interaction in responder patients but not in those patients that progress on treatment. Upon initiation of therapy, immune cell abundance increased rapidly in responsive patients, and once the peak level is reached tumor burden decreases, similar to models of predator-prey interactions; these dynamic patterns were absent in nonresponder patients. To interrogate phenotype dynamics of circulating immune cells, we performed single-cell RNA sequencing at serial time points during treatment. These data show that peripheral immune cell phenotypes were linked to the increased strength of patients' tumor-immune cell interaction, including increased cytotoxic differentiation and strong activation of interferon signaling in peripheral T cells in responder patients. Joint modeling of clinical and genomic data highlights the interactions between tumor and immune cell populations and reveals how variation in patient responsiveness can be explained by differences in peripheral immune cell signaling and differentiation soon after the initiation of immunotherapy.","The extent to which immune cell phenotypes in the peripheral blood reflect within-tumor immune activity prior to and early in cancer therapy is unclear. To address this question, we studied the population dynamics of tumor and immune cells, and immune phenotypic changes, using clinical tumor and immune cell measurements and single-cell genomic analyses. These samples were serially obtained from a cohort of advanced gastrointestinal cancer patients enrolled in a trial with chemotherapy and immunotherapy. Using an ecological population model, fitted to clinical tumor burden and immune cell abundance data from each patient, we find evidence of a strong tumor-circulating immune cell interaction in responder patients but not in those patients that progress on treatment. Upon initiation of therapy, immune cell abundance increased rapidly in responsive patients, and once the peak level is reached tumor burden decreases, similar to models of predator-prey interactions; these dynamic patterns were absent in nonresponder patients. To interrogate phenotype dynamics of circulating immune cells, we performed single-cell RNA sequencing at serial time points during treatment. These data show that peripheral immune cell phenotypes were linked to the increased strength of patients' tumor-immune cell interaction, including increased cytotoxic differentiation and strong activation of interferon signaling in peripheral T cells in responder patients. Joint modeling of clinical and genomic data highlights the interactions between tumor and immune cell populations and reveals how variation in patient responsiveness can be explained by differences in peripheral immune cell signaling and differentiation soon after the initiation of immunotherapy.","Griffiths, Jason I","Department of Medical Oncology &amp; Therapeutics Research, City of Hope National Medical Center, Duarte, CA 91010.",Proc Natl Acad Sci U S A,2020 Jul 7
35810186,10.1038/s41598-022-15668-8,"SARS-CoV-2 infection triggers profound and variable immune responses in human hosts. Chromatin remodeling has been observed in individuals severely ill or convalescing with COVID-19, but chromatin remodeling early in disease prior to anti-spike protein IgG seroconversion has not been defined. We performed the Assay for Transposase-Accessible Chromatin using sequencing (ATAC-seq) and RNA-seq on peripheral blood mononuclear cells (PBMCs) from outpatients with mild or moderate symptom severity at different stages of clinical illness. Early in the disease course prior to IgG seroconversion, modifications in chromatin accessibility associated with mild or moderate symptoms were already robust and included severity-associated changes in accessibility of genes in interleukin signaling, regulation of cell differentiation and cell morphology. Furthermore, single-cell analyses revealed evolution of the chromatin accessibility landscape and transcription factor motif accessibility for individual PBMC cell types over time. The most extensive remodeling occurred in CD14+ monocytes, where sub-populations with distinct chromatin accessibility profiles were observed prior to seroconversion. Mild symptom severity was marked by upregulation of classical antiviral pathways, including those regulating IRF1 and IRF7, whereas in moderate disease, these classical antiviral signals diminished, suggesting dysregulated and less effective responses. Together, these observations offer novel insight into the epigenome of early mild SARS-CoV-2 infection and suggest that detection of chromatin remodeling in early disease may offer promise for a new class of diagnostic tools for COVID-19.","SARS-CoV-2 infection triggers profound and variable immune responses in human hosts. Chromatin remodeling has been observed in individuals severely ill or convalescing with COVID-19, but chromatin remodeling early in disease prior to anti-spike protein IgG seroconversion has not been defined. We performed the Assay for Transposase-Accessible Chromatin using sequencing (ATAC-seq) and RNA-seq on peripheral blood mononuclear cells (PBMCs) from outpatients with mild or moderate symptom severity at different stages of clinical illness. Early in the disease course prior to IgG seroconversion, modifications in chromatin accessibility associated with mild or moderate symptoms were already robust and included severity-associated changes in accessibility of genes in interleukin signaling, regulation of cell differentiation and cell morphology. Furthermore, single-cell analyses revealed evolution of the chromatin accessibility landscape and transcription factor motif accessibility for individual PBMC cell types over time. The most extensive remodeling occurred in CD14+ monocytes, where sub-populations with distinct chromatin accessibility profiles were observed prior to seroconversion. Mild symptom severity was marked by upregulation of classical antiviral pathways, including those regulating IRF1 and IRF7, whereas in moderate disease, these classical antiviral signals diminished, suggesting dysregulated and less effective responses. Together, these observations offer novel insight into the epigenome of early mild SARS-CoV-2 infection and suggest that detection of chromatin remodeling in early disease may offer promise for a new class of diagnostic tools for COVID-19.","Giroux, Nicholas S","Department of Biomedical Engineering, Pratt School of Engineering, Duke University, Durham, NC, 27708, USA.",Sci Rep,2022 Jul 9
36229591,10.1038/s12276-022-00866-1,"Clonal hematopoiesis of indeterminate potential (CHIP), a common aging-related process that predisposes individuals to various inflammatory responses, has been reported to be associated with COVID-19 severity. However, the immunological signature and the exact gene expression program by which the presence of CHIP exerts its clinical impact on COVID-19 remain to be elucidated. In this study, we generated a single-cell transcriptome landscape of severe COVID-19 according to the presence of CHIP using peripheral blood mononuclear cells. Patients with CHIP exhibited a potent IFN-gamma response in exacerbating inflammation, particularly in classical monocytes, compared to patients without CHIP. To dissect the regulatory mechanism of CHIP (+)-specific IFN-gamma response gene expression in severe COVID-19, we identified DNMT3A CHIP mutation-dependent differentially methylated regions (DMRs) and annotated their putative target genes based on long-range chromatin interactions. We revealed that CHIP mutant-driven hypo-DMRs at poised cis-regulatory elements appear to facilitate the CHIP (+)-specific IFN-gamma-mediated inflammatory immune response. Our results highlight that the presence of CHIP may increase the susceptibility to hyperinflammation through the reorganization of chromatin architecture, establishing a novel subgroup of severe COVID-19 patients.","Clonal hematopoiesis of indeterminate potential (CHIP), a common aging-related process that predisposes individuals to various inflammatory responses, has been reported to be associated with COVID-19 severity. However, the immunological signature and the exact gene expression program by which the presence of CHIP exerts its clinical impact on COVID-19 remain to be elucidated. In this study, we generated a single-cell transcriptome landscape of severe COVID-19 according to the presence of CHIP using peripheral blood mononuclear cells. Patients with CHIP exhibited a potent IFN-gamma response in exacerbating inflammation, particularly in classical monocytes, compared to patients without CHIP. To dissect the regulatory mechanism of CHIP (+)-specific IFN-gamma response gene expression in severe COVID-19, we identified DNMT3A CHIP mutation-dependent differentially methylated regions (DMRs) and annotated their putative target genes based on long-range chromatin interactions. We revealed that CHIP mutant-driven hypo-DMRs at poised cis-regulatory elements appear to facilitate the CHIP (+)-specific IFN-gamma-mediated inflammatory immune response. Our results highlight that the presence of CHIP may increase the susceptibility to hyperinflammation through the reorganization of chromatin architecture, establishing a novel subgroup of severe COVID-19 patients.","Choi, Baekgyu","Department of Biological Sciences, Korea Advanced Institute of Science and Technology (KAIST), Daejeon, 34141, Republic of Korea.",Exp Mol Med,2022 Oct
35168246,10.1038/s41586-022-04527-1,"Germinal centres (GC) are lymphoid structures in which B cells acquire affinity-enhancing somatic hypermutations (SHM), with surviving clones differentiating into memory B cells (MBCs) and long-lived bone marrow plasma cells(1-5) (BMPCs). SARS-CoV-2 mRNA vaccination induces a persistent GC response that lasts for at least six months in humans(6-8). The fate of responding GC B cells as well as the functional consequences of such persistence remain unknown. Here, we detected SARS-CoV-2 spike protein-specific MBCs in 42 individuals who had received two doses of the SARS-CoV-2 mRNA vaccine BNT162b2 six month earlier. Spike-specific IgG-secreting BMPCs were detected in 9 out of 11 participants. Using a combined approach of sequencing the B cell receptors of responding blood plasmablasts and MBCs, lymph node GC B cells and plasma cells and BMPCs from eight individuals and expression of the corresponding monoclonal antibodies, we tracked the evolution of 1,540 spike-specific B cell clones. On average, early blood spike-specific plasmablasts exhibited the lowest SHM frequencies. By contrast, SHM frequencies of spike-specific GC B cells increased by 3.5-fold within six months after vaccination. Spike-specific MBCs and BMPCs accumulated high levels of SHM, which corresponded with enhanced anti-spike antibody avidity in blood and enhanced affinity as well as neutralization capacity of BMPC-derived monoclonal antibodies. We report how the notable persistence of the GC reaction induced by SARS-CoV-2 mRNA vaccination in humans culminates in affinity-matured long-term antibody responses that potently neutralize the virus.","Germinal centres (GC) are lymphoid structures in which B cells acquire affinity-enhancing somatic hypermutations (SHM), with surviving clones differentiating into memory B cells (MBCs) and long-lived bone marrow plasma cells(1-5) (BMPCs). SARS-CoV-2 mRNA vaccination induces a persistent GC response that lasts for at least six months in humans(6-8). The fate of responding GC B cells as well as the functional consequences of such persistence remain unknown. Here, we detected SARS-CoV-2 spike protein-specific MBCs in 42 individuals who had received two doses of the SARS-CoV-2 mRNA vaccine BNT162b2 six month earlier. Spike-specific IgG-secreting BMPCs were detected in 9 out of 11 participants. Using a combined approach of sequencing the B cell receptors of responding blood plasmablasts and MBCs, lymph node GC B cells and plasma cells and BMPCs from eight individuals and expression of the corresponding monoclonal antibodies, we tracked the evolution of 1,540 spike-specific B cell clones. On average, early blood spike-specific plasmablasts exhibited the lowest SHM frequencies. By contrast, SHM frequencies of spike-specific GC B cells increased by 3.5-fold within six months after vaccination. Spike-specific MBCs and BMPCs accumulated high levels of SHM, which corresponded with enhanced anti-spike antibody avidity in blood and enhanced affinity as well as neutralization capacity of BMPC-derived monoclonal antibodies. We report how the notable persistence of the GC reaction induced by SARS-CoV-2 mRNA vaccination in humans culminates in affinity-matured long-term antibody responses that potently neutralize the virus.","Kim, Wooseob","Department of Pathology and Immunology, Washington University School of Medicine, St Louis, MO, USA.",Nature,2022 Apr
36789418,10.1101/2023.01.05.522630,"Th17 cells have been investigated in mice primarily for their contributions to autoimmune diseases. However, the pathways of differentiation of Th17 and related (type 17) cells and the structure of the type 17 memory population in humans are not well understood; such understanding is critical for manipulating these cells in vivo . By exploiting differences in levels of surface CCR6, we found that human type 17 memory cells, including individual T cell clonotypes, form an elongated continuum of type 17 character along which cells can be driven by increasing RORgammat. This continuum includes cells preserved within the memory pool with potentials that reflect the early preferential activation of multiple over single lineages. The CCR6 (+) cells' phenotypes and epigenomes are stable across cell divisions under homeostatic conditions. Nonetheless, activation in polarizing and non-polarizing conditions can yield additional functionalities, revealing, respectively, both environmentally induced and imprinted mechanisms that contribute differentially across the continuum to yield the unusual plasticity ascribed to type 17 cells.","Th17 cells have been investigated in mice primarily for their contributions to autoimmune diseases. However, the pathways of differentiation of Th17 and related (type 17) cells and the structure of the type 17 memory population in humans are not well understood; such understanding is critical for manipulating these cells in vivo . By exploiting differences in levels of surface CCR6, we found that human type 17 memory cells, including individual T cell clonotypes, form an elongated continuum of type 17 character along which cells can be driven by increasing RORgammat. This continuum includes cells preserved within the memory pool with potentials that reflect the early preferential activation of multiple over single lineages. The CCR6 (+) cells' phenotypes and epigenomes are stable across cell divisions under homeostatic conditions. Nonetheless, activation in polarizing and non-polarizing conditions can yield additional functionalities, revealing, respectively, both environmentally induced and imprinted mechanisms that contribute differentially across the continuum to yield the unusual plasticity ascribed to type 17 cells.","Singh, Satya P","Laboratory of Molecular Immunology, National Institute of Allergy and Infectious Diseases, National Institutes of Health, Bethesda MD.",bioRxiv,2023 Jan 6
31959990,10.1038/s41591-019-0733-7,"Drug-induced hypersensitivity syndrome/drug reaction with eosinophilia and systemic symptoms (DiHS/DRESS) is a potentially fatal multiorgan inflammatory disease associated with herpesvirus reactivation and subsequent onset of autoimmune diseases(1-4). Pathophysiology remains elusive and therapeutic options are limited. Cases refractory to corticosteroid therapy pose a clinical challenge(1,5) and approximately 30% of patients with DiHS/DRESS develop complications, including infections and inflammatory and autoimmune diseases(1,2,5). Progress in single-cell RNA sequencing (scRNA-seq) provides an opportunity to dissect human disease pathophysiology at unprecedented resolutions(6), particularly in diseases lacking animal models, such as DiHS/DRESS. We performed scRNA-seq on skin and blood from a patient with refractory DiHS/DRESS, identifying the JAK-STAT signaling pathway as a potential target. We further showed that central memory CD4(+) T cells were enriched with DNA from human herpesvirus 6b. Intervention via tofacitinib enabled disease control and tapering of other immunosuppressive agents. Tofacitinib, as well as antiviral agents, suppressed culprit-induced T cell proliferation in vitro, further supporting the roles of the JAK-STAT pathway and herpesviruses in mediating the adverse drug reaction. Thus, scRNA-seq analyses guided successful therapeutic intervention in the patient with refractory DiHS/DRESS. scRNA-seq may improve our understanding of complicated human disease pathophysiology and provide an alternative approach in personalized medicine.","Drug-induced hypersensitivity syndrome/drug reaction with eosinophilia and systemic symptoms (DiHS/DRESS) is a potentially fatal multiorgan inflammatory disease associated with herpesvirus reactivation and subsequent onset of autoimmune diseases(1-4). Pathophysiology remains elusive and therapeutic options are limited. Cases refractory to corticosteroid therapy pose a clinical challenge(1,5) and approximately 30% of patients with DiHS/DRESS develop complications, including infections and inflammatory and autoimmune diseases(1,2,5). Progress in single-cell RNA sequencing (scRNA-seq) provides an opportunity to dissect human disease pathophysiology at unprecedented resolutions(6), particularly in diseases lacking animal models, such as DiHS/DRESS. We performed scRNA-seq on skin and blood from a patient with refractory DiHS/DRESS, identifying the JAK-STAT signaling pathway as a potential target. We further showed that central memory CD4(+) T cells were enriched with DNA from human herpesvirus 6b. Intervention via tofacitinib enabled disease control and tapering of other immunosuppressive agents. Tofacitinib, as well as antiviral agents, suppressed culprit-induced T cell proliferation in vitro, further supporting the roles of the JAK-STAT pathway and herpesviruses in mediating the adverse drug reaction. Thus, scRNA-seq analyses guided successful therapeutic intervention in the patient with refractory DiHS/DRESS. scRNA-seq may improve our understanding of complicated human disease pathophysiology and provide an alternative approach in personalized medicine.","Kim, Doyoung","Cutaneous Leukocyte Biology Section, Dermatology Branch, National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS), NIH, Bethesda, MD, USA.",Nat Med,2020 Feb
31474370,10.1016/j.cell.2019.08.008,"Clinical benefits of cytokine blockade in ileal Crohn's disease (iCD) are limited to a subset of patients. Here, we applied single-cell technologies to iCD lesions to address whether cellular heterogeneity contributes to treatment resistance. We found that a subset of patients expressed a unique cellular module in inflamed tissues that consisted of IgG plasma cells, inflammatory mononuclear phagocytes, activated T cells, and stromal cells, which we named the GIMATS module. Analysis of ligand-receptor interaction pairs identified a distinct network connectivity that likely drives the GIMATS module. Strikingly, the GIMATS module was also present in a subset of patients in four independent iCD cohorts (n = 441), and its presence at diagnosis correlated with failure to achieve durable corticosteroid-free remission upon anti-TNF therapy. These results emphasize the limitations of current diagnostic assays and the potential for single-cell mapping tools to identify novel biomarkers of treatment response and tailored therapeutic opportunities.","Clinical benefits of cytokine blockade in ileal Crohn's disease (iCD) are limited to a subset of patients. Here, we applied single-cell technologies to iCD lesions to address whether cellular heterogeneity contributes to treatment resistance. We found that a subset of patients expressed a unique cellular module in inflamed tissues that consisted of IgG plasma cells, inflammatory mononuclear phagocytes, activated T cells, and stromal cells, which we named the GIMATS module. Analysis of ligand-receptor interaction pairs identified a distinct network connectivity that likely drives the GIMATS module. Strikingly, the GIMATS module was also present in a subset of patients in four independent iCD cohorts (n = 441), and its presence at diagnosis correlated with failure to achieve durable corticosteroid-free remission upon anti-TNF therapy. These results emphasize the limitations of current diagnostic assays and the potential for single-cell mapping tools to identify novel biomarkers of treatment response and tailored therapeutic opportunities.","Martin, Jerome C","Precision Immunology Institute, Icahn School of Medicine at Mount Sinai, New York, NY 10029, USA; Tisch Cancer Institute, Icahn School of Medicine at Mount Sinai, New York, NY 10029, USA; Department of Oncological Sciences, Icahn School of Medicine at Mount Sinai, New York, NY 10029, USA.",Cell,2019 Sep 5
34084162,10.3389/fimmu.2021.641886,"OBJECTIVE: Systemic lupus erythematosus (SLE) is a complex autoimmune disease, and various immune cells are involved in the initiation, progression, and regulation of SLE. Our goal was to reveal the chromatin accessibility landscape of peripheral blood mononuclear cells (PBMCs) in SLE patients at single-cell resolution and identify the transcription factors (TFs) that may drive abnormal immune responses. METHODS: The assay for transposase accessible chromatin in single-cell sequencing (scATAC-seq) method was applied to map the landscape of active regulatory DNA in immune cells from SLE patients at single-cell resolution, followed by clustering, peak annotation and motif analysis of PBMCs in SLE. RESULTS: Peripheral blood mononuclear cells were robustly clustered based on their types without using antibodies. We identified twenty patterns of TF activation that drive abnormal immune responses in SLE patients. Then, we observed ten genes that were highly associated with SLE pathogenesis by altering T cell activity. Finally, we found 12 key TFs regulating the above six genes (CD83, ELF4, ITPKB, RAB27A, RUNX3, and ZMIZ1) that may be related to SLE disease pathogenesis and were significantly enriched in SLE patients (p &lt;0.05, FC &gt;2). With qPCR experiments on CD83, ELF4, RUNX3, and ZMIZ1 in B cells, we observed a significant difference in the expression of genes (ELF4, RUNX3, and ZMIZ1), which were regulated by seven TFs (EWSR1-FLI1, MAF, MAFA, NFIB, NR2C2 (var. 2), TBX4, and TBX5). Meanwhile, the seven TFs showed highly accessible binding sites in SLE patients. CONCLUSIONS: These results confirm the importance of using single-cell sequencing to uncover the real features of immune cells in SLE patients, reveal key TFs in SLE-PBMCs, and provide foundational insights relevant for epigenetic therapy.","OBJECTIVE: Systemic lupus erythematosus (SLE) is a complex autoimmune disease, and various immune cells are involved in the initiation, progression, and regulation of SLE. Our goal was to reveal the chromatin accessibility landscape of peripheral blood mononuclear cells (PBMCs) in SLE patients at single-cell resolution and identify the transcription factors (TFs) that may drive abnormal immune responses. METHODS: The assay for transposase accessible chromatin in single-cell sequencing (scATAC-seq) method was applied to map the landscape of active regulatory DNA in immune cells from SLE patients at single-cell resolution, followed by clustering, peak annotation and motif analysis of PBMCs in SLE. RESULTS: Peripheral blood mononuclear cells were robustly clustered based on their types without using antibodies. We identified twenty patterns of TF activation that drive abnormal immune responses in SLE patients. Then, we observed ten genes that were highly associated with SLE pathogenesis by altering T cell activity. Finally, we found 12 key TFs regulating the above six genes (CD83, ELF4, ITPKB, RAB27A, RUNX3, and ZMIZ1) that may be related to SLE disease pathogenesis and were significantly enriched in SLE patients (p &lt;0.05, FC &gt;2). With qPCR experiments on CD83, ELF4, RUNX3, and ZMIZ1 in B cells, we observed a significant difference in the expression of genes (ELF4, RUNX3, and ZMIZ1), which were regulated by seven TFs (EWSR1-FLI1, MAF, MAFA, NFIB, NR2C2 (var. 2), TBX4, and TBX5). Meanwhile, the seven TFs showed highly accessible binding sites in SLE patients. CONCLUSIONS: These results confirm the importance of using single-cell sequencing to uncover the real features of immune cells in SLE patients, reveal key TFs in SLE-PBMCs, and provide foundational insights relevant for epigenetic therapy.","Yu, Haiyan","Department of Clinical Medical Research Center, The Second Clinical Medical College, Jinan University (Shenzhen People's Hospital), Shenzhen, China.",Front Immunol,2021 May 18
