RON,S.ZORB.CAL_H2.PV,S.ZORB.PDI_2102.PV,S.ZORB.PT_2801.PV,S.ZORB.FC_2801.PV,S.ZORB.TE_2103.PV,S.ZORB.TE_2005.PV,S.ZORB.PT_2101.PV,S.ZORB.PDT_2104.PV,S.ZORB.SIS_PDT_2103B.PV,S.ZORB.TC_2101.PV,S.ZORB.TE_2301.PV,S.ZORB.PT_2301.PV,S.ZORB.PC_2105.PV,S.ZORB.PC_5101.PV,S.ZORB.TC_5005.PV,S.ZORB.LC_5001.PV,S.ZORB.LC_5101.PV,S.ZORB.TE_5102.PV,S.ZORB.TE_5202.PV,S.ZORB.FC_5202.PV,S.ZORB.AT_5201.PV,S.ZORB.PT_9301.PV,S.ZORB.FT_9301.PV,S.ZORB.FT_5101.PV,S.ZORB.TE_9001.PV,S.ZORB.PT_9001.PV,S.ZORB.FT_9001.PV,S.ZORB.FT_9403.PV,S.ZORB.PT_9403.PV,S.ZORB.TE_9301.PV,S.ZORB.FT_9201.PV,S.ZORB.FT_9202.PV,S.ZORB.FT_9302.PV,S.ZORB.FT_3301.PV,S.ZORB.FT_9402.PV,S.ZORB.PT_9402.PV,S.ZORB.FT_9401.PV,S.ZORB.PT_9401.PV,S.ZORB.PDC_2502.PV,S.ZORB.FC_2501.PV
87.52,0.307,21.8696,2.4843,649.8759,424.3228,422.1788,2.3588,90.8656,22.5037,240.1569,320.5923,2.3703,4.9296,0.6521,128.6679,55.028,50.0654,33.5909,35.7524,123.3822,0.2437,0.844,703.3057,561.0838,26.6361,0.4106,417.6887,568.4553,0.9942,218.8761,428.9315,420.0288,4452.2828,169.0741,358.5542,0.6144,109.6805,0.5184,19.0776,43.0692
87.22,0.2658,24.1461,2.5418,648.8236,422.3418,418.6882,2.418,90.9447,25.2335,239.9498,368.3236,2.4296,4.994,0.652,128.7724,54.9924,49.9843,32.8551,36.3033,137.8518,-0.2618,0.8362,902.1518,665.1696,26.3363,0.4123,489.8902,575.1308,0.9939,214.8981,425.3125,416.7807,4501.7865,190.5891,330.6704,0.6098,109.3707,0.517,11.1687,43.1052
87.22,0.2656,23.8267,2.5437,647.0787,420.5991,417.643,2.42,91.348,24.9766,239.9741,362.6583,2.432,4.9983,0.652,127.4614,54.9953,50.0083,30.451,34.8543,137.8788,-0.1407,0.8389,825.934,564.2631,23.6943,0.4098,495.4307,570.2926,0.9936,202.582,426.9994,418.2282,4488.9397,186.0202,291.7455,0.6101,109.5948,0.5112,9.6173,43.0437
87.42,0.282,24.8226,2.5437,650.2368,420.2177,417.2919,2.4202,91.085,25.3007,239.9726,363.0863,2.432,4.9883,0.652,127.0207,54.9794,50.0083,36.7138,37.1633,138.3448,-0.2337,0.9197,760.0484,746.9797,31.9121,0.4207,514.8263,509.8356,0.9959,216.9835,427.5577,418.2178,4357.6069,192.2422,368.9679,0.6077,109.949,0.5053,8.5291,43.0555
87.72,0.2797,27.3981,2.5477,643.0066,423.3924,419.0987,2.4283,90.1129,27.9279,239.8597,361.8117,2.4379,5.0011,0.6597,129.0418,55.291,50.2531,33.2045,35.0445,140.6593,-0.2509,0.8398,1174.0423,693.3148,26.7525,0.4105,481.2526,531.7242,0.9966,205.437,428.9047,420.1564,4361.9957,115.7073,214.7657,0.6199,109.5108,0.5155,21.852,42.6355
87.12,0.2826,27.1608,2.5461,653.4282,421.497,418.331,2.4223,90.5538,27.8299,240.0004,361.1361,2.4347,4.9835,0.6601,127.7567,55.02,50.0994,36.0131,37.1281,138.9644,-0.2581,0.8644,928.6875,669.4615,31.1814,0.4155,497.0021,554.2234,0.9935,201.4968,423.5804,413.7965,4357.0628,132.7438,289.2259,0.6216,109.1866,0.518,9.9589,42.785
86.42,0.2833,25.1846,2.5444,652.0258,422.2302,418.7786,2.4206,91.4117,25.5198,240.068,360.559,2.4321,4.9876,0.6601,126.9838,55.0347,50.0184,34.3495,36.7492,139.0789,-0.2538,0.8514,962.1099,588.6595,29.3983,0.4135,485.4762,584.9106,0.9936,214.5532,423.9101,414.2038,4375.9501,143.4284,342.8334,0.6094,109.8613,0.5198,11.1327,43.0539
86.92,0.2846,25.6561,2.535,651.1178,420.8864,417.295,2.4124,89.88,26.151,240.0637,361.4632,2.4244,4.9985,0.66,125.9504,55.011,50.0066,34.5044,36.8798,140.3797,-0.2301,0.8727,2408.7975,826.3085,30.3087,0.413,528.7307,569.6422,0.9946,212.1117,425.9583,416.5096,4387.0213,116.7634,269.3087,0.602,110.306,0.5084,9.0116,43.0814
88.82,0.285,25.1084,2.5432,648.2605,425.4598,421.6546,2.4194,90.502,25.5836,240.0111,359.3061,2.4314,4.9945,0.6601,127.9287,54.9637,50.0132,34.7596,36.7897,139.1805,-0.1192,0.825,1138.7378,712.5972,28.7326,0.3959,491.9266,631.9595,0.9932,211.887,424.9909,415.5776,4362.2975,187.1581,330.2318,0.6122,110.6778,0.5131,11.6374,42.9226
89.32,0.2859,26.9777,2.5431,652.0095,421.0541,418.5768,2.4206,88.7827,27.5923,239.9651,360.1461,2.4328,4.9886,0.66,127.995,54.9854,49.9698,34.1435,37.162,138.8657,0.9188,0.8079,1291.8266,684.2711,29.0634,0.4046,494.4801,577.1499,0.9941,210.748,425.8828,416.2876,4450.3075,97.9032,267.4366,0.611,107.6967,0.5136,15.1875,42.9631
87.9,0.363,20.9364,2.4017,647.605,423.6695,423.0361,2.2767,89.5102,21.1849,239.9857,290.1351,2.288,4.9012,0.66,128.0047,54.9972,49.9804,35.3198,37.1446,112.8707,7.3357,0.8084,812.1109,490.6509,30.6957,0.4061,394.1655,575.2556,0.9952,195.5437,476.881,465.2502,4461.166,107.1047,275.5125,0.6199,109.5233,0.5184,35.3774,43.0848
87,0.3277,23.4443,2.4282,647.5932,423.8171,422.1022,2.3047,89.3833,23.6369,239.9754,294.3458,2.3163,4.9035,0.6601,127.9354,55.0153,50.0079,36.8443,36.3029,123.1636,-0.0611,0.807,867.677,559.4803,32.6016,0.4022,435.5279,612.0445,0.9937,195.8796,528.4325,515.024,4433.9957,115.5107,316.6311,0.5792,107.3267,0.4874,32.3864,39.7506
87,0.3309,23.3627,2.4247,747.5028,425.2754,422.9489,2.3021,88.5275,23.5337,240.0736,322.9701,2.3138,4.937,0.6601,127.9854,55.0724,50.1449,37.5274,37.0849,122.3832,-0.2428,0.8266,1344.6532,939.3095,32.7584,0.42,443.2079,547.0547,0.994,205.6821,514.8787,503.0056,4449.7154,125.0511,357.0386,0.5862,103.8815,0.4873,21.8538,45.2284
86.9,0.3043,26.2872,2.5337,750.1578,425.315,421.3153,2.4134,87.9832,26.9468,240.041,376.1657,2.4254,4.9966,0.66,126.9516,54.9796,49.9924,33.8235,36.6247,137.8754,-0.2294,0.7978,1122.2484,653.9009,28.7842,0.3929,469.2842,541.2844,0.9958,210.4638,459.8854,449.8023,4462.2063,173.2188,355.7415,0.6275,113.0255,0.5246,9.8668,45.0825
88.62,0.3007,27.0959,2.5364,652.4708,425.7265,421.611,2.4147,89.0692,27.495,240.1392,375.7065,2.426,4.9999,0.66,128.5749,54.8446,50.0026,34.5084,35.882,136.4518,-0.2408,0.8117,958.5975,716.7338,29.0131,0.3987,467.4197,542.4346,0.9935,200.8398,435.9072,426.2664,4458.1921,275.9457,382.2311,0.6051,106.9698,0.4993,12.6777,45.0132
88.72,0.3004,26.558,2.5395,651.2316,424.0724,420.6234,2.4169,90.0291,26.6572,239.9911,375.2993,2.4285,4.9937,0.6601,128.4416,54.857,49.9818,38.5605,37.5878,136.4081,0.0594,0.8564,662.2883,725.5136,35.6231,0.3961,481.5402,546.8463,0.9954,194.6817,438.142,428.5523,4433.3929,241.7976,454.2949,0.6005,107.3317,0.4984,12.9645,45.074
88.22,0.3015,24.9881,2.5408,650.8367,423.8761,420.2557,2.4158,92.0039,25.487,239.9829,377.3296,2.4281,4.9343,0.6602,128.2373,54.8338,50.0176,36.6688,37.6203,136.8007,0.775,0.8226,729.6724,630.8194,33.3457,0.3971,467.4852,567.5893,0.9949,193.9084,430.8958,422.5351,4415.5552,244.6665,440.5173,0.5927,105.8831,0.4891,16.8598,44.9656
87.92,0.2947,28.299,2.493,648.2377,423.5164,420.0565,2.3697,90.2113,28.4561,239.9226,374.6926,2.3817,4.9515,0.6601,128.5757,54.8634,49.9867,35.2695,37.0864,136.7844,-0.1513,0.8342,754.7221,576.4619,31.6199,0.3955,459.7527,564.8641,0.9942,192.5208,434.5914,425.7754,4451.318,233.1783,359.2129,0.6113,111.8825,0.503,14.1023,45.0153
87.02,0.2965,28.5497,2.4919,650.9204,423.694,420.0774,2.3684,90.0021,28.8322,240.0026,374.6912,2.3797,4.9923,0.6601,128.5823,54.8436,50.0213,36.0944,37.0746,136.5393,-0.176,0.8816,846.3422,704.501,32.5013,0.4076,475.8922,630.9222,0.9937,193.3557,432.528,423.6243,4443.2885,237.0911,416.0277,0.6062,108.7578,0.5095,12.6216,45.038
87.12,0.2947,27.8585,2.4909,648.8125,423.9816,420.4772,2.3671,90.097,27.8173,240.1173,373.5071,2.3785,4.9984,0.6601,128.4865,54.8223,50.0439,37.1121,37.1291,136.846,-0.218,0.8304,787.706,704.2689,33.8336,0.4118,471.8434,633.2935,0.9949,193.9399,429.264,420.4659,4453.1566,247.366,467.3829,0.6029,107.9245,0.5082,13.5845,45.0602
87.72,0.297,27.0746,2.4889,651.4,422.6458,419.6564,2.3666,89.8166,27.4127,239.9901,368.039,2.3784,4.9832,0.6601,126.7428,54.8202,50.0091,36.3012,36.6128,136.9418,-0.0623,0.8151,692.4245,605.1618,33.0312,0.4056,481.9063,562.1028,0.9944,191.0364,431.8361,422.082,4411.9642,255.4881,479.6075,0.606,108.7106,0.5102,10.7983,44.9854
85.82,0.2967,27.1252,2.489,648.0625,419.3682,415.683,2.365,90.402,27.3758,240.0364,368.7983,2.3775,4.9337,0.6601,126.765,54.883,50.0342,36.148,36.0078,137.16,-0.0799,0.911,610.6942,537.8288,33.1269,0.4011,446.3842,570.1478,0.994,193.9381,430.5821,421.7086,4471.8411,226.7251,416.446,0.6071,108.5566,0.5169,26.2304,44.018
85.72,0.3008,27.3821,2.4878,650.9095,422.9617,419.3242,2.3651,89.4594,27.657,239.93,366.1432,2.3768,4.9626,0.6598,127.2006,54.8081,49.9686,36.615,35.9498,137.8283,-0.2341,0.8682,752.6274,619.6558,34.1719,0.4113,469.3083,592.4178,0.9945,195.1273,434.1907,424.5262,4413.4826,203.9595,369.3191,0.6323,109.4642,0.5271,10.8385,44.6084
85.72,0.2976,28.5325,2.4831,645.9359,423.3626,418.8949,2.3599,90.0959,28.8893,241.585,371.0685,2.3724,4.9547,0.66,126.2641,54.7809,50.0395,35.567,35.6926,137.9167,-0.2285,0.8179,1802.388,760.9293,33.9984,0.3975,475.6852,578.5557,0.9938,198.3203,440.9716,431.738,4428.4718,208.5221,412.7023,0.6045,109.1066,0.5133,10.7644,44.1786
89.62,0.2991,25.9268,2.4855,652.2922,416.6927,414.2762,2.3651,88.1425,26.4037,240.7245,366.469,2.3764,5.001,0.66,129.7102,54.8294,49.9896,34.0966,36.984,136.1946,6.3667,0.825,1179.2756,773.533,31.0497,0.4083,493.1536,573.7493,0.9952,194.8102,432.4784,422.6926,4432.186,307.2617,489.9135,0.6094,110.7091,0.5108,12.8808,44.328
88.82,0.2917,26.0713,2.4864,650.2206,422.321,419.6684,2.3643,88.9111,26.6379,241.2185,373.0052,2.376,4.9567,0.66,129.1788,54.8656,50.0099,33.989,35.1706,137.116,-0.2236,0.8397,976.3542,734.9411,30.4456,0.4063,490.0394,575.4371,0.9941,204.4961,431.4337,421.9463,4448.6684,246.1216,408.141,0.617,109.9975,0.5163,12.8248,44.2443
89.32,0.2965,26.1966,2.4865,648.8444,420.5118,416.9651,2.3651,88.8701,26.8201,240.7764,368.3767,2.3763,4.9992,0.6599,129.245,54.9759,49.9658,33.5862,35.2161,136.6591,-0.0631,0.8356,1208.6702,747.5146,29.7768,0.4072,458.4079,579.6728,0.9937,214.3923,430.888,421.1222,4444.5123,257.608,379.7993,0.6084,51.5785,0.5083,12.4584,45.9293
89.52,0.3009,26.0246,2.4856,653.2986,415.8203,412.256,2.3638,88.031,26.3139,240.5661,363.9943,2.3756,4.9495,0.66,128.6981,55.0001,50.0143,35.6861,35.5185,136.6176,0.6411,0.8081,1074.3554,713.8091,32.4753,0.4065,467.2562,577.7396,0.9938,197.9818,428.3873,418.553,4431.8862,227.2757,415.8051,0.6204,51.8741,0.5214,13.8056,45.3084
88.52,0.3027,24.9119,2.4903,648.7258,425.154,421.4342,2.3667,89.853,25.409,241.2158,374.925,2.3783,4.9635,0.6602,128.9812,55.0069,50.0675,36.8881,36.3791,136.33,-0.22,0.7863,1088.0344,833.998,33.5867,0.4073,476.1709,578.1599,0.9945,202.4539,427.9654,418.3809,4427.6906,254.7396,438.5923,0.6089,49.7787,0.5123,16.4102,45.5072
89.32,0.2993,24.8304,2.4864,647.5505,423.023,419.526,2.3642,89.2033,25.3208,240.6491,371.0793,2.3757,4.9976,0.6601,129.2162,55.0085,50.0028,34.2997,35.0022,137.4098,-0.1926,0.8462,1257.445,796.8734,30.2804,0.4069,478.2554,595.2493,0.9937,227.282,430.7754,421.4093,4428.9653,255.7288,425.0852,0.6162,53.0484,0.5176,14.2715,45.6373
90.22,0.2955,24.9826,2.4906,650.6838,427.0018,423.4876,2.3665,90.4504,25.3636,240.9541,375.9635,2.3783,4.9723,0.66,129.2963,55.0171,50.0533,32.9636,33.2548,136.8919,-0.1687,0.8558,1245.4134,802.7129,29.6266,0.4073,472.6571,597.9597,0.9936,225.0801,427.5293,418.0778,4438.8253,240.0396,402.5828,0.6185,50.5333,0.5207,11.7958,46.1259
90.2,0.2956,26.1612,2.4866,648.7439,422.3961,419.0648,2.3671,86.4115,26.6337,240.8847,373.2089,2.3791,4.991,0.6601,128.2852,54.9784,50.0331,33.6755,33.8433,135.7944,0.1428,0.8471,1503.9281,980.0485,30.878,0.4111,490.6552,582.1765,0.995,214.0883,424.6865,414.886,4468.5287,238.9702,387.1089,0.6201,49.9155,0.5202,18.0021,45.4578
90.2,0.2984,26.5386,2.4845,650.1845,422.1564,418.4816,2.3653,86.1436,27.0912,240.7532,371.5786,2.377,4.943,0.66,128.7166,55.037,50.0015,32.1484,33.5845,136.792,-0.1003,0.8395,1383.7436,829.6919,29.0187,0.4079,473.2483,579.6875,0.9945,208.1307,424.0995,414.7362,4469.4917,253.762,447.6231,0.6123,46.65,0.5142,8.3033,46.1506
90.2,0.3006,26.6156,2.4856,651.75,423.8987,420.1353,2.3655,87.7063,27.1332,240.4151,371.3723,2.3768,4.9896,0.66,128.9195,54.9774,49.9905,32.966,33.9525,136.0455,-0.0839,0.8451,1413.2674,870.2146,27.8557,0.4053,473.4676,583.7518,0.9941,217.0745,431.0305,421.2954,4426.371,234.8367,409.6392,0.618,37.2152,0.5186,11.9197,46.0229
90.3,0.2988,26.3044,2.4851,648.3639,420.2683,416.3085,2.3643,87.7367,26.7571,240.5486,373.2685,2.376,4.9603,0.66,129.1269,55.0306,49.8193,32.1585,34.2289,134.3125,-0.1494,0.8591,940.1948,799.0014,29.1595,0.4129,449.2354,580.1551,0.994,220.2625,416.7646,407.4176,4445.8265,274.7802,477.1061,0.6162,43.9681,0.5125,13.5057,45.5422
90.1,0.2991,25.8567,2.4835,652.3044,420.3469,416.8305,2.3629,87.9301,26.3869,239.4904,361.2331,2.3749,4.9513,0.6599,127.6379,55.0257,49.9907,31.4865,33.4405,137.1212,-0.0229,0.832,1170.9438,703.6161,25.2342,0.4054,469.5376,584.887,0.9937,195.7821,418.2012,409.196,4452.9087,257.2305,373.7689,0.622,40.5381,0.5148,10.354,46.0987
89.9,0.3014,27.0299,2.4869,654.6656,426.6046,422.1879,2.3661,87.562,27.6087,240.3492,374.3274,2.3774,5.0006,0.6599,127.79,54.9738,49.96,30.9557,33.2276,136.9182,-0.2221,0.834,1348.078,836.3314,27.9405,0.4072,459.8717,583.0822,0.994,212.5422,415.9004,407.01,4461.135,237.0975,438.8216,0.6219,44.7954,0.5159,11.3814,46.0661
89.7,0.2976,26.4843,2.487,647.7481,426.2677,422.5642,2.3658,87.9257,26.9678,240.3373,374.4214,2.3774,4.9487,0.66,129.3834,55.0479,50.0168,31.2972,34.2027,137.9882,-0.2181,0.849,1589.459,814.9999,27.8008,0.4067,471.305,579.36,0.9943,202.2696,432.8704,423.5333,4554.5676,274.7173,393.8232,0.6086,44.7251,0.5165,11.9519,46.0363
89.92,0.2984,27.5275,2.4886,650.3525,427.4304,423.7631,2.3664,87.6903,27.8895,241.1407,373.6405,2.3782,4.9899,0.6602,129.3423,54.9639,50.0497,35.1149,36.3103,136.7853,-0.2183,0.8466,1284.0702,858.0245,31.1271,0.4161,465.5666,580.5816,0.994,201.9365,425.4079,416.075,4501.1647,264.5789,471.3611,0.6061,40.5897,0.5218,11.7029,45.7499
90.42,0.2999,26.1156,2.4846,651.1783,425.3914,420.3569,2.3638,88.2167,27.0424,240.7225,374.4928,2.3753,4.9588,0.66,128.0125,54.9664,50.0128,32.557,35.2092,136.7274,-0.2169,0.8482,1066.215,645.2252,25.9539,0.4068,442.5747,582.39,0.9937,196.16,414.8522,405.7002,4548.8756,273.8296,418.3021,0.6167,37.5339,0.5177,17.277,45.5048
90.12,0.2981,26.4593,2.4857,650.3341,425.6896,420.7152,2.3627,88.6966,26.7946,240.1069,379.7147,2.3757,4.939,0.66,129.1197,55.0374,50.0026,30.869,33.8272,137.5051,-0.2156,0.8399,1209.5037,596.0696,25.8139,0.4043,422.5463,585.0463,0.9939,199.6866,398.3833,389.7533,4533.7785,277.4852,365.2104,0.6196,48.7386,0.5189,18.126,45.4826
90.12,0.2841,25.5696,2.4829,650.9833,422.8855,419.2408,2.3603,88.9674,26.4641,240.9241,375.2691,2.3727,4.9684,0.6601,129.8977,54.9922,50.0202,33.6967,35.6239,137.4016,0.1355,0.8518,1199.665,744.7754,31.186,0.4068,476.1596,607.4725,0.9937,207.7299,394.3174,385.5009,4542.3081,274.3286,394.5853,0.6183,46.4938,0.5191,14.4198,45.8175
89.82,0.2885,25.611,2.484,650.2923,424.6281,420.7589,2.362,88.8356,26.2163,240.2726,378.0076,2.3738,4.8962,0.66,129.4774,55.0629,50.0113,31.9786,34.5812,137.573,-0.1946,0.8559,1387.8809,846.6257,27.3205,0.4061,478.3999,609.7802,0.9929,207.0844,395.1527,386.2552,4526.9188,284.5946,428.1161,0.6181,49.6264,0.5204,16.6494,45.512
89.72,0.2947,25.4796,2.484,649.4831,424.2279,420.5959,2.3631,88.6725,25.8859,240.1047,378.9321,2.3748,4.9007,0.66,128.6333,54.9651,49.9782,33.0692,34.7589,135.8208,-0.1384,0.8459,1257.9507,948.7491,28.7782,0.405,483.9862,608.4226,0.9936,209.4992,393.8373,385.4629,4554.8887,299.7732,443.3259,0.6169,51.0375,0.5187,11.5109,46.0421
89.52,0.2858,25.7797,2.4851,651.6796,427.2808,423.8038,2.363,88.8746,25.638,240.4587,381.5043,2.375,4.9005,0.66,128.723,54.99,50.0142,30.8504,35.8329,136.9765,-0.1659,0.8991,1063.996,784.2109,26.2266,0.4068,475.4826,605.4719,0.9938,203.9371,398.9988,389.987,4569.7431,260.9842,433.484,0.613,39.8728,0.5189,14.4032,45.5976
88.92,0.2961,25.7385,2.4853,647.0677,423.4924,419.3957,2.3631,88.9241,25.3076,240.6838,373.8323,2.3746,4.8487,0.6601,128.878,55.0267,50.0138,31.3904,37.1495,137.2298,-0.2027,0.8735,1376.2283,801.4051,27.014,0.4149,461.3799,652.7912,0.9918,191.2984,393.4704,384.0548,4508.5889,244.7487,461.3161,0.6136,42.2689,0.52,17.1093,45.3756
89.92,0.2966,23.318,2.4867,647.8267,427.116,423.0483,2.3629,89.877,25.0598,240.2637,378.3399,2.376,4.8762,0.6601,128.0122,55.0439,50.039,28.9737,34.5007,137.0257,-0.2026,0.8802,1396.2349,808.0005,23.499,0.4126,476.2857,648.9593,0.9925,189.0025,395.5414,386.28,4553.6524,261.8626,366.0023,0.6153,29.9512,0.5184,11.4831,45.777
89.2,0.2914,25.234,2.4812,649.2159,421.2146,416.9892,2.3619,85.577,24.7293,240.5268,377.1119,2.3743,4.8574,0.6601,128.644,54.9677,50.0314,30.8707,36.5471,136.3139,-0.1548,0.8888,1322.8649,823.6486,26.2186,0.4165,458.5781,531.8887,0.9955,191.8185,394.3683,385.1392,4537.2219,270.5888,372.2344,0.6202,49.999,0.5266,13.2337,45.1731
89.2,0.2914,24.7013,2.4811,650.8353,422.1386,417.3665,2.3625,86.1005,24.4815,240.3006,376.5786,2.3744,4.8371,0.66,129.0858,54.9911,49.9757,29.2597,35.2156,136.2687,-0.1937,0.8542,1322.0486,726.6611,23.2973,0.3945,445.5491,532.1567,0.9943,193.0966,392.672,383.8387,4549.9483,232.582,391.4758,0.6234,36.0786,0.5165,15.3011,46.6063
89.5,0.3037,24.2033,2.4843,651.2876,423.9311,419.5534,2.3656,86.5878,10.7732,239.8765,378.9901,2.3772,4.8967,0.66,125.0556,55.001,50.0463,30.6814,34.9242,137.5678,-0.0916,0.8691,991.4012,889.639,23.7371,0.3968,466.0843,537.4612,0.9934,183.0327,394.812,386.3143,4539.9755,292.2415,436.3049,0.6178,38.7162,0.5123,13.6165,44.4982
89.3,0.3024,24.9943,2.4837,651.2936,424.6673,421.0529,2.364,86.487,10.7732,239.9741,372.5472,2.3758,4.8912,0.6601,124.5925,55.0179,50.0065,35.8705,36.1807,138.4698,1.1889,0.8528,1052.7147,1119.2342,29.9294,0.407,504.3805,541.9157,0.994,196.7446,417.0265,406.2758,4499.3278,279.513,494.015,0.6061,63.4541,0.5054,15.8826,44.749
89.72,0.3042,24.3079,2.4817,651.611,420.5243,415.9142,2.3633,85.9278,10.7732,240.304,371.9226,2.3751,4.8951,0.66,124.3958,54.9981,49.9665,34.0308,36.6886,138.5513,0.8445,0.8828,1056.2762,1030.6815,26.2909,0.4029,469.3378,556.2953,0.9934,199.5151,420.166,408.5705,4505.2763,267.2648,443.9297,0.6233,58.2842,0.5189,17.5746,44.3375
89.7,0.2988,24.253,2.482,649.5448,428.0329,423.8371,2.3636,86.0157,10.7732,239.9511,374.8963,2.3755,4.8955,0.66,124.7055,54.997,50.0577,28.9543,35.1004,138.4097,0.1035,0.8818,900.0894,826.2457,23.2569,0.4027,487.7341,547.1521,0.9946,183.0036,427.4931,399.992,4550.2268,263.996,409.9692,0.6179,63.3259,0.513,11.6388,44.8179
89.76,0.302,24.3812,2.4816,650.0536,425.7482,421.355,2.3625,86.1463,10.7732,240.066,377.8532,2.3745,4.9004,0.66,117.5679,54.9773,50.0066,28.9234,35.061,131.8977,0.0101,0.8778,651.2705,963.0054,22.0356,0.405,480.7064,539.9213,0.9936,189.7792,423.9116,414.5947,4544.8975,273.9966,409.786,0.6048,57.7654,0.5288,11.2389,44.629
89.89,0.3062,24.3116,2.4825,649.3323,422.0768,417.2019,2.3635,86.618,10.7732,240.1149,372.7075,2.3752,4.8999,0.66,124.9073,55.0066,44.9797,31.4345,35.3225,136.0366,0.524,0.8794,863.6859,756.7501,24.0348,0.4016,453.4189,547.9482,0.995,212.7118,427.2441,417.3203,4576.8627,277.7631,448.8019,0.6147,66.6758,0.5386,9.7919,29.668
89.39,0.3006,24.1416,2.4817,651.1114,426.5938,422.432,2.3632,86.0226,10.7732,237.6232,380.9987,2.3748,4.8931,0.66,123.9514,54.9994,45.0214,25.4864,32.7139,136.0328,-0.054,0.8596,844.4238,609.2896,17.722,0.392,465.7775,560.2375,0.9938,192.0511,423.968,414.7746,4593.7906,301.4102,366.2308,0.6138,74.675,0.5324,14.6887,29.5772
89.69,0.3035,24.116,2.4834,652.1117,424.0958,420.0888,2.3645,86.3549,10.7732,238.5648,381.0642,2.3766,4.8965,0.66,125.4436,54.9959,44.9929,31.4451,36.1479,136.1099,0.1162,0.8743,888.2839,810.02,24.2184,0.3989,470.4029,541.4927,0.9939,203.2089,434.5882,425.0207,4554.911,299.2266,434.3439,0.6156,90.6193,0.5401,15.4757,29.4073
90.3,0.3039,24.0172,2.4801,651.3711,424.5686,420.3463,2.3652,83.9449,10.7732,238.2422,379.01,2.3768,4.8924,0.6599,124.9361,54.9903,44.967,30.1861,37.1994,136.2645,0.1404,0.8478,829.4116,681.428,21.2226,0.4004,473.5794,554.7584,0.9935,180.412,434.9741,425.2486,4544.6855,264.0716,441.5842,0.6139,92.0967,0.531,11.5207,45.1686
89,0.3035,23.996,2.4799,649.8254,423.1627,418.1296,2.3637,83.8477,10.7732,238.3768,377.5692,2.3755,4.8904,0.6601,125.3503,55.0182,44.9855,29.7422,37.0728,137.119,-0.1923,0.8515,953.3172,725.4642,21.5093,0.4143,455.3305,543.5227,0.9936,203.7689,435.0934,425.4519,4596.7488,260.7243,420.766,0.6185,97.9066,0.5346,19.7316,44.5794
89.2,0.3023,23.8978,2.4784,650.3382,421.7358,416.4798,2.3624,83.4094,10.7732,237.8302,380.527,2.3744,4.7963,0.6601,122.6122,55.0115,45.0077,25.8455,35.1769,138.1318,0.128,0.8663,1094.9274,585.507,17.7079,0.4123,430.5331,549.7861,0.995,187.0002,435.1386,425.5901,4608.0035,267.4817,418.7229,0.6192,102.8979,0.535,29.4865,44.6562
89.6,0.2981,24.3444,2.4818,648.0431,425.7961,420.8786,2.3655,83.6874,10.7732,238.2623,382.2774,2.377,4.7707,0.66,124.9376,55.0008,45.0384,28.4397,36.5406,138.0996,0.6267,0.842,1530.0427,711.4613,20.4315,0.4161,471.9172,604.2963,0.9931,186.3646,435.184,425.1889,4581.179,326.4964,465.9638,0.61,97.9201,0.5329,19.4177,44.8738
88.9,0.2966,24.1592,2.4798,653.0408,425.4278,420.7061,2.3636,83.4833,10.7732,237.9575,384.2796,2.3752,4.7949,0.6601,125.3663,54.9986,45.0162,27.4746,35.6162,137.9671,-0.0847,0.8631,1633.6452,751.1272,20.0376,0.4163,462.6199,599.0188,0.9932,194.88,435.7872,425.9749,4630.2926,281.7308,442.4682,0.6239,101.7364,0.5463,18.0228,44.6307
88.9,0.2956,24.2066,2.4794,648.7995,422.8615,418.4064,2.3649,81.9298,10.7732,237.9467,382.0438,2.3761,4.7677,0.6601,124.8623,55.0418,45.002,27.3231,35.2308,138.4792,0.1688,0.8609,1647.5678,780.8955,20.1245,0.4333,460.0529,616.4295,0.9926,187.6776,438.2782,428.1207,4607.2966,289.12,455.1033,0.6233,100.8689,0.5458,16.5676,44.6384
89,0.2987,23.3789,2.4774,650.9068,424.4193,419.2272,2.3635,81.3684,10.7732,237.9133,383.1081,2.3754,4.7734,0.66,125.3572,55.0058,44.9842,26.1097,35.9236,137.9542,0.4681,0.9118,1675.0098,716.8806,18.2552,0.4114,450.8895,586.3614,0.9934,189.4957,440.1992,430.306,4625.5031,299.5296,419.5351,0.6171,101.227,0.5401,18.6741,44.9278
89,0.3035,22.9112,2.4767,650.6391,422.978,418.2364,2.3639,81.7561,10.7732,237.0094,380.7386,2.3751,4.7935,0.6599,125.3132,55.0075,44.9613,24.6005,35.1006,136.5205,0.6643,0.868,1827.3247,683.4688,16.2365,0.3983,451.7931,587.6474,0.9927,193.4729,440.9073,431.1352,4630.7666,294.4077,491.8737,0.6156,99.9009,0.5391,19.5976,44.9432
88.5,0.2998,23.5704,2.4762,650.7735,425.6949,420.2141,2.3627,81.4798,10.7732,237.9678,385.8997,2.3741,4.7665,0.6599,126.2659,54.9757,45.0229,25.401,34.7534,136.2517,0.0146,0.8415,2083.5099,816.2434,17.2875,0.4042,447.3938,589.502,0.9929,186.8571,440.0269,430.277,4612.5714,232.0016,385.7994,0.6197,99.3979,0.54,17.1664,44.9458
